division	group	group_size	tf	category	jsd_rank	cacts_score	group_expr_log2tpm	fdr_log10
OncotreePrimaryDisease	Acute Myeloid Leukemia	43	CEBPE	specific	2	0.378915	2.71	-38.318
OncotreePrimaryDisease	Acute Myeloid Leukemia	43	SPI1	specific	4	0.462785	6.6	-18.291
OncotreePrimaryDisease	Acute Myeloid Leukemia	43	GATA1	specific	5	0.479354	2.24	-15.203
OncotreePrimaryDisease	Acute Myeloid Leukemia	43	OLIG1	specific	7	0.493791	2.0	-12.795
OncotreePrimaryDisease	Acute Myeloid Leukemia	43	TFEC	specific	8	0.495481	3.17	-12.568
OncotreePrimaryDisease	Acute Myeloid Leukemia	43	GFI1B	specific	10	0.503206	2.56	-11.396
OncotreePrimaryDisease	Acute Myeloid Leukemia	43	KLF1	specific	11	0.51546	2.07	-9.546
OncotreePrimaryDisease	Acute Myeloid Leukemia	43	TAL1	specific	12	0.518354	2.8	-9.159
OncotreePrimaryDisease	Acute Myeloid Leukemia	43	LYL1	specific	13	0.526864	6.29	-7.992
OncotreePrimaryDisease	Acute Myeloid Leukemia	43	NFE2	specific	14	0.544734	5.61	-5.744
OncotreePrimaryDisease	Acute Myeloid Leukemia	43	ZBTB16	specific	15	0.547399	2.43	-5.46
OncotreePrimaryDisease	Acute Myeloid Leukemia	43	IKZF1	specific	17	0.553176	5.02	-4.856
OncotreePrimaryDisease	Acute Myeloid Leukemia	43	IRF8	specific	20	0.578961	3.12	-2.384
OncotreePrimaryDisease	Acute Myeloid Leukemia	43	GFI1	specific	21	0.581385	4.94	-2.199
OncotreePrimaryDisease	Acute Myeloid Leukemia	43	ERG	specific	23	0.593391	2.17	-1.3
OncotreePrimaryDisease	Acute Myeloid Leukemia	43	BATF	specific	24	0.594387	4.07	-1.247
OncotreePrimaryDisease	Acute Myeloid Leukemia	43	SNAI3	specific	25	0.597054	1.83	-1.077
OncotreePrimaryDisease	Acute Myeloid Leukemia	43	MYB	specific	26	0.597387	6.92	-1.071
OncotreePrimaryDisease	Acute Myeloid Leukemia	43	YBX1	non_specific	562	0.657427	10.04	-0.035
OncotreePrimaryDisease	Acute Myeloid Leukemia	43	NME2	non_specific	737	0.658955	9.97	-0.035
OncotreePrimaryDisease	Acute Myeloid Leukemia	43	ATF4	non_specific	620	0.65792	9.08	-0.035
OncotreePrimaryDisease	Acute Myeloid Leukemia	43	HMGA1	non_specific	532	0.657221	8.19	-0.035
OncotreePrimaryDisease	Acute Myeloid Leukemia	43	PA2G4	non_specific	603	0.657799	8.02	-0.035
OncotreePrimaryDisease	Acute Myeloid Leukemia	43	MYC	non_specific	153	0.649829	7.87	-0.035
OncotreePrimaryDisease	Acute Myeloid Leukemia	43	MAZ	non_specific	485	0.656832	7.87	-0.035
OncotreePrimaryDisease	Acute Myeloid Leukemia	43	DNMT1	non_specific	305	0.654302	7.41	-0.035
OncotreePrimaryDisease	Acute Myeloid Leukemia	43	DRAP1	non_specific	871	0.660326	7.22	-0.035
OncotreePrimaryDisease	Acute Myeloid Leukemia	43	GTF3A	non_specific	365	0.6553	7.11	-0.035
OncotreePrimaryDisease	Acute Myeloid Leukemia	43	XBP1	non_specific	377	0.655461	7.1	-0.035
OncotreePrimaryDisease	Acute Myeloid Leukemia	43	SON	non_specific	582	0.657625	6.95	-0.035
OncotreePrimaryDisease	Acute Myeloid Leukemia	43	ZNF207	non_specific	713	0.658724	6.95	-0.035
OncotreePrimaryDisease	Acute Myeloid Leukemia	43	TFDP1	non_specific	421	0.656043	6.87	-0.035
OncotreePrimaryDisease	Acute Myeloid Leukemia	43	HMGN3	non_specific	710	0.658698	6.64	-0.035
OncotreePrimaryDisease	Acute Myeloid Leukemia	43	YBX3	non_specific	882	0.660496	6.56	-0.035
OncotreePrimaryDisease	Acute Myeloid Leukemia	43	SAFB	non_specific	460	0.656474	6.42	-0.035
OncotreePrimaryDisease	Acute Myeloid Leukemia	43	ZNF706	non_specific	700	0.658645	6.38	-0.035
OncotreePrimaryDisease	Acute Myeloid Leukemia	43	MAX	non_specific	352	0.655154	6.36	-0.035
OncotreePrimaryDisease	Acute Myeloid Leukemia	43	USF2	non_specific	622	0.657949	6.34	-0.035
OncotreePrimaryDisease	Acute Myeloid Leukemia	43	GTF2I	non_specific	766	0.659175	6.32	-0.035
OncotreePrimaryDisease	Acute Myeloid Leukemia	43	TCF3	non_specific	494	0.656912	6.29	-0.035
OncotreePrimaryDisease	Acute Myeloid Leukemia	43	PIN1	non_specific	566	0.657477	6.25	-0.035
OncotreePrimaryDisease	Acute Myeloid Leukemia	43	ATF6B	non_specific	433	0.656104	6.24	-0.035
OncotreePrimaryDisease	Acute Myeloid Leukemia	43	ZNF146	non_specific	660	0.658329	6.2	-0.035
OncotreePrimaryDisease	Acute Myeloid Leukemia	43	SREBF2	non_specific	459	0.656471	6.2	-0.035
OncotreePrimaryDisease	Acute Myeloid Leukemia	43	IRF3	non_specific	539	0.65726	6.19	-0.035
OncotreePrimaryDisease	Acute Myeloid Leukemia	43	CXXC1	non_specific	238	0.652936	6.18	-0.035
OncotreePrimaryDisease	Acute Myeloid Leukemia	43	CAMTA1	non_specific	848	0.660024	6.1	-0.035
OncotreePrimaryDisease	Acute Myeloid Leukemia	43	GPBP1L1	non_specific	555	0.657388	6.09	-0.035
OncotreePrimaryDisease	Acute Myeloid Leukemia	43	CHCHD3	non_specific	785	0.659302	6.06	-0.035
OncotreePrimaryDisease	Acute Myeloid Leukemia	43	CENPX	non_specific	867	0.66031	6.05	-0.035
OncotreePrimaryDisease	Acute Myeloid Leukemia	43	STAT6	non_specific	340	0.654907	6.04	-0.035
OncotreePrimaryDisease	Acute Myeloid Leukemia	43	E2F4	non_specific	568	0.657488	6.04	-0.035
OncotreePrimaryDisease	Acute Myeloid Leukemia	43	MYBL2	non_specific	487	0.656844	5.98	-0.035
OncotreePrimaryDisease	Acute Myeloid Leukemia	43	ELF1	non_specific	145	0.648986	5.95	-0.035
OncotreePrimaryDisease	Acute Myeloid Leukemia	43	ZNF692	non_specific	222	0.652559	5.95	-0.035
OncotreePrimaryDisease	Acute Myeloid Leukemia	43	RBCK1	non_specific	795	0.659383	5.94	-0.035
OncotreePrimaryDisease	Acute Myeloid Leukemia	43	USF1	non_specific	477	0.656743	5.93	-0.035
OncotreePrimaryDisease	Acute Myeloid Leukemia	43	HSF1	non_specific	492	0.656908	5.93	-0.035
OncotreePrimaryDisease	Acute Myeloid Leukemia	43	SREBF1	non_specific	776	0.659264	5.9	-0.035
OncotreePrimaryDisease	Acute Myeloid Leukemia	43	PBX2	non_specific	387	0.655644	5.9	-0.035
OncotreePrimaryDisease	Acute Myeloid Leukemia	43	THYN1	non_specific	448	0.656353	5.85	-0.035
OncotreePrimaryDisease	Acute Myeloid Leukemia	43	UBTF	non_specific	523	0.657159	5.82	-0.035
OncotreePrimaryDisease	Acute Myeloid Leukemia	43	REPIN1	non_specific	544	0.657305	5.82	-0.035
OncotreePrimaryDisease	Acute Myeloid Leukemia	43	PHF19	non_specific	471	0.656623	5.81	-0.035
OncotreePrimaryDisease	Acute Myeloid Leukemia	43	SMYD3	non_specific	174	0.651047	5.75	-0.035
OncotreePrimaryDisease	Acute Myeloid Leukemia	43	BCLAF1	non_specific	735	0.658941	5.74	-0.035
OncotreePrimaryDisease	Acute Myeloid Leukemia	43	HMG20B	non_specific	576	0.65758	5.72	-0.035
OncotreePrimaryDisease	Acute Myeloid Leukemia	43	NFE2L1	non_specific	994	0.66292	5.71	-0.035
OncotreePrimaryDisease	Acute Myeloid Leukemia	43	HHEX	non_specific	43	0.624839	5.66	-0.035
OncotreePrimaryDisease	Acute Myeloid Leukemia	43	GLYR1	non_specific	565	0.657446	5.64	-0.035
OncotreePrimaryDisease	Acute Myeloid Leukemia	43	SAFB2	non_specific	358	0.655175	5.61	-0.035
OncotreePrimaryDisease	Acute Myeloid Leukemia	43	MBD3	non_specific	438	0.656151	5.56	-0.035
OncotreePrimaryDisease	Acute Myeloid Leukemia	43	ZNF384	non_specific	616	0.657902	5.54	-0.035
OncotreePrimaryDisease	Acute Myeloid Leukemia	43	AKAP8L	non_specific	527	0.657187	5.53	-0.035
OncotreePrimaryDisease	Acute Myeloid Leukemia	43	ZEB2	non_specific	45	0.626112	5.5	-0.035
OncotreePrimaryDisease	Acute Myeloid Leukemia	43	JUND	non_specific	310	0.654407	5.5	-0.035
OncotreePrimaryDisease	Acute Myeloid Leukemia	43	TSC22D4	non_specific	226	0.652629	5.48	-0.035
OncotreePrimaryDisease	Acute Myeloid Leukemia	43	CEBPZ	non_specific	727	0.658861	5.48	-0.035
OncotreePrimaryDisease	Acute Myeloid Leukemia	43	STAT1	non_specific	838	0.659915	5.47	-0.035
OncotreePrimaryDisease	Acute Myeloid Leukemia	43	UBP1	non_specific	599	0.657755	5.46	-0.035
OncotreePrimaryDisease	Acute Myeloid Leukemia	43	DMTF1	non_specific	645	0.658151	5.46	-0.035
OncotreePrimaryDisease	Acute Myeloid Leukemia	43	SMAD2	non_specific	666	0.658382	5.46	-0.035
OncotreePrimaryDisease	Acute Myeloid Leukemia	43	RUNX1	non_specific	101	0.641306	5.44	-0.035
OncotreePrimaryDisease	Acute Myeloid Leukemia	43	NFYC	non_specific	547	0.657318	5.42	-0.035
OncotreePrimaryDisease	Acute Myeloid Leukemia	43	CBFB	non_specific	640	0.658128	5.42	-0.035
OncotreePrimaryDisease	Acute Myeloid Leukemia	43	PREB	non_specific	659	0.658321	5.42	-0.035
OncotreePrimaryDisease	Acute Myeloid Leukemia	43	ETS2	non_specific	179	0.651122	5.41	-0.035
OncotreePrimaryDisease	Acute Myeloid Leukemia	43	MLX	non_specific	631	0.658055	5.4	-0.035
OncotreePrimaryDisease	Acute Myeloid Leukemia	43	MBD1	non_specific	404	0.655851	5.37	-0.035
OncotreePrimaryDisease	Acute Myeloid Leukemia	43	ARID1A	non_specific	364	0.655296	5.36	-0.035
OncotreePrimaryDisease	Acute Myeloid Leukemia	43	SETDB1	non_specific	452	0.656384	5.34	-0.035
OncotreePrimaryDisease	Acute Myeloid Leukemia	43	GPBP1	non_specific	787	0.659319	5.33	-0.035
OncotreePrimaryDisease	Acute Myeloid Leukemia	43	RFX5	non_specific	512	0.657066	5.33	-0.035
OncotreePrimaryDisease	Acute Myeloid Leukemia	43	ATF5	non_specific	484	0.656831	5.33	-0.035
OncotreePrimaryDisease	Acute Myeloid Leukemia	43	CGGBP1	non_specific	650	0.658212	5.32	-0.035
OncotreePrimaryDisease	Acute Myeloid Leukemia	43	ZNF428	non_specific	490	0.656876	5.32	-0.035
OncotreePrimaryDisease	Acute Myeloid Leukemia	43	DNTTIP1	non_specific	657	0.658305	5.31	-0.035
OncotreePrimaryDisease	Adenosquamous Carcinoma of the Pancreas	2	ONECUT3	specific	1	0.446676	2.51	-36.874
OncotreePrimaryDisease	Adenosquamous Carcinoma of the Pancreas	2	HNF1A	specific	2	0.563821	1.96	-6.147
OncotreePrimaryDisease	Adenosquamous Carcinoma of the Pancreas	2	MEOX1	specific	3	0.569097	2.19	-5.475
OncotreePrimaryDisease	Adenosquamous Carcinoma of the Pancreas	2	SPDEF	specific	4	0.576942	3.04	-4.405
OncotreePrimaryDisease	Adenosquamous Carcinoma of the Pancreas	2	PAX7	specific	5	0.587273	1.36	-3.082
OncotreePrimaryDisease	Adenosquamous Carcinoma of the Pancreas	2	NR5A2	specific	9	0.604523	2.13	-1.352
OncotreePrimaryDisease	Adenosquamous Carcinoma of the Pancreas	2	IRF8	specific	10	0.605222	2.21	-1.328
OncotreePrimaryDisease	Adenosquamous Carcinoma of the Pancreas	2	PRDM13	specific	11	0.607005	1.21	-1.193
OncotreePrimaryDisease	Adenosquamous Carcinoma of the Pancreas	2	FOXJ1	specific	12	0.609418	2.01	-1.001
OncotreePrimaryDisease	Adenosquamous Carcinoma of the Pancreas	2	NME2	non_specific	650	0.658894	9.99	-0.052
