division	group	group_size	tf	category	jsd_rank	cacts_score	group_expr_log2tpm	fdr_log10
OncotreeLineage	Adrenal Gland	1	CTCFL	specific	1	0.225977	5.8	-9.008
OncotreeLineage	Adrenal Gland	1	DACH2	specific	2	0.25514	2.61	-7.706
OncotreeLineage	Adrenal Gland	1	MEOX2	specific	3	0.317888	4.96	-4.846
OncotreeLineage	Adrenal Gland	1	EGR4	specific	4	0.324459	2.02	-4.684
OncotreeLineage	Adrenal Gland	1	ZIC4	specific	5	0.36331	3.88	-3.204
OncotreeLineage	Adrenal Gland	1	SOHLH2	specific	6	0.382941	5.62	-2.565
OncotreeLineage	Adrenal Gland	1	PAX2	specific	7	0.388755	3.05	-2.429
OncotreeLineage	Adrenal Gland	1	HOXD1	specific	8	0.399452	4.21	-2.127
OncotreeLineage	Adrenal Gland	1	ZNF727	specific	10	0.411154	2.23	-1.847
OncotreeLineage	Adrenal Gland	1	SIX3	specific	12	0.41695	3.68	-1.746
OncotreeLineage	Adrenal Gland	1	EMX1	specific	13	0.434722	2.57	-1.258
OncotreeLineage	Adrenal Gland	1	LIN28B	specific	14	0.437667	5.06	-1.229
OncotreeLineage	Adrenal Gland	1	NME2	non_specific	752	0.616478	10.14	-0.055
OncotreeLineage	Adrenal Gland	1	YBX1	non_specific	727	0.615823	9.7	-0.055
OncotreeLineage	Adrenal Gland	1	ID3	non_specific	323	0.59944	8.17	-0.055
OncotreeLineage	Adrenal Gland	1	ATF4	non_specific	924	0.621441	8.05	-0.055
OncotreeLineage	Adrenal Gland	1	HMGA2	non_specific	114	0.562465	7.99	-0.055
OncotreeLineage	Adrenal Gland	1	DRAP1	non_specific	707	0.615325	7.9	-0.055
OncotreeLineage	Adrenal Gland	1	PA2G4	non_specific	732	0.615922	7.81	-0.055
OncotreeLineage	Adrenal Gland	1	HMGA1	non_specific	776	0.617114	7.72	-0.055
OncotreeLineage	Adrenal Gland	1	SOX2	non_specific	18	0.453284	7.61	-0.898
OncotreeLineage	Adrenal Gland	1	DDIT3	non_specific	354	0.601598	7.3	-0.055
OncotreeLineage	Adrenal Gland	1	NR2F1	non_specific	62	0.528738	7.0	-0.055
OncotreeLineage	Adrenal Gland	1	YBX3	non_specific	795	0.617791	6.96	-0.055
OncotreeLineage	Adrenal Gland	1	CAMTA1	non_specific	547	0.610581	6.95	-0.055
OncotreeLineage	Adrenal Gland	1	SNAPC5	non_specific	356	0.601909	6.92	-0.055
OncotreeLineage	Adrenal Gland	1	SMAD2	non_specific	350	0.601411	6.76	-0.055
OncotreeLineage	Adrenal Gland	1	ZNF207	non_specific	802	0.618058	6.74	-0.055
OncotreeLineage	Adrenal Gland	1	HMGN3	non_specific	675	0.61457	6.72	-0.055
OncotreeLineage	Adrenal Gland	1	CENPX	non_specific	667	0.614221	6.67	-0.055
OncotreeLineage	Adrenal Gland	1	MAZ	non_specific	931	0.621645	6.61	-0.055
OncotreeLineage	Adrenal Gland	1	ZNF146	non_specific	560	0.610864	6.61	-0.055
OncotreeLineage	Adrenal Gland	1	GTF2I	non_specific	656	0.613966	6.6	-0.055
OncotreeLineage	Adrenal Gland	1	THYN1	non_specific	371	0.602949	6.58	-0.055
OncotreeLineage	Adrenal Gland	1	CHCHD3	non_specific	625	0.612848	6.52	-0.055
OncotreeLineage	Adrenal Gland	1	IRF3	non_specific	570	0.611079	6.49	-0.055
OncotreeLineage	Adrenal Gland	1	ZNF410	non_specific	327	0.59956	6.48	-0.055
OncotreeLineage	Adrenal Gland	1	ZNF664	non_specific	530	0.610109	6.44	-0.055
OncotreeLineage	Adrenal Gland	1	DNMT1	non_specific	715	0.615412	6.44	-0.055
OncotreeLineage	Adrenal Gland	1	GTF3A	non_specific	717	0.615483	6.44	-0.055
OncotreeLineage	Adrenal Gland	1	ETV5	non_specific	166	0.581481	6.41	-0.055
OncotreeLineage	Adrenal Gland	1	ZNF217	non_specific	274	0.595795	6.31	-0.055
OncotreeLineage	Adrenal Gland	1	SON	non_specific	858	0.619677	6.28	-0.055
OncotreeLineage	Adrenal Gland	1	PIN1	non_specific	645	0.613688	6.22	-0.055
OncotreeLineage	Adrenal Gland	1	EGR1	non_specific	235	0.591483	6.21	-0.055
OncotreeLineage	Adrenal Gland	1	ZNF428	non_specific	349	0.601394	6.18	-0.055
OncotreeLineage	Adrenal Gland	1	NFE2L1	non_specific	954	0.622318	6.1	-0.055
