division	group	group_size	tf	category	jsd_rank	cacts_score	group_expr_log2tpm	fdr_log10
OncotreeSubtype	AML with Maturation	1	NEUROG3	specific	1	0.487658	2.83	-16.86
OncotreeSubtype	AML with Maturation	1	CEBPE	specific	2	0.500255	4.86	-14.737
OncotreeSubtype	AML with Maturation	1	TAL1	specific	3	0.531253	5.77	-9.636
OncotreeSubtype	AML with Maturation	1	ZBTB16	specific	5	0.592643	3.85	-2.286
OncotreeSubtype	AML with Maturation	1	CCDC169-SOHLH2	specific	6	0.60119	1.15	-1.608
OncotreeSubtype	AML with Maturation	1	ERG	specific	8	0.609691	4.82	-1.051
OncotreeSubtype	AML with Maturation	1	SPI1	specific	9	0.610723	6.13	-1.024
OncotreeSubtype	AML with Maturation	1	NME2	non_specific	579	0.675881	10.55	-0.114
OncotreeSubtype	AML with Maturation	1	YBX1	non_specific	531	0.675433	10.43	-0.114
OncotreeSubtype	AML with Maturation	1	ATF4	non_specific	563	0.675686	9.41	-0.114
OncotreeSubtype	AML with Maturation	1	PA2G4	non_specific	476	0.675028	8.71	-0.114
OncotreeSubtype	AML with Maturation	1	MYC	non_specific	221	0.672224	8.17	-0.114
OncotreeSubtype	AML with Maturation	1	HMGN3	non_specific	307	0.673522	7.98	-0.114
OncotreeSubtype	AML with Maturation	1	STAT5A	non_specific	27	0.647786	7.74	-0.114
OncotreeSubtype	AML with Maturation	1	GTF3A	non_specific	352	0.674011	7.67	-0.114
OncotreeSubtype	AML with Maturation	1	DNMT1	non_specific	386	0.674289	7.61	-0.114
OncotreeSubtype	AML with Maturation	1	YBX3	non_specific	540	0.675488	7.54	-0.114
OncotreeSubtype	AML with Maturation	1	TFDP1	non_specific	350	0.673949	7.52	-0.114
OncotreeSubtype	AML with Maturation	1	HMGA1	non_specific	748	0.677264	7.39	-0.114
OncotreeSubtype	AML with Maturation	1	TBPL1	non_specific	141	0.670051	7.33	-0.114
OncotreeSubtype	AML with Maturation	1	CENPX	non_specific	418	0.674494	7.32	-0.114
OncotreeSubtype	AML with Maturation	1	MAZ	non_specific	684	0.676773	7.25	-0.114
OncotreeSubtype	AML with Maturation	1	DRAP1	non_specific	767	0.677446	7.22	-0.114
OncotreeSubtype	AML with Maturation	1	SON	non_specific	602	0.676081	7.02	-0.114
OncotreeSubtype	AML with Maturation	1	MYB	non_specific	35	0.65096	6.97	-0.114
OncotreeSubtype	AML with Maturation	1	GFI1	non_specific	18	0.628074	6.95	-0.166
OncotreeSubtype	AML with Maturation	1	SAFB	non_specific	411	0.674466	6.92	-0.114
OncotreeSubtype	AML with Maturation	1	ZNF692	non_specific	192	0.671505	6.84	-0.114
OncotreeSubtype	AML with Maturation	1	PIN1	non_specific	456	0.674853	6.81	-0.114
OncotreeSubtype	AML with Maturation	1	HHEX	non_specific	43	0.654611	6.8	-0.114
OncotreeSubtype	AML with Maturation	1	CAMTA1	non_specific	535	0.675473	6.77	-0.114
OncotreeSubtype	AML with Maturation	1	LYL1	non_specific	14	0.6231	6.77	-0.36
OncotreeSubtype	AML with Maturation	1	SREBF2	non_specific	396	0.674326	6.72	-0.114
OncotreeSubtype	AML with Maturation	1	BCLAF1	non_specific	422	0.674517	6.7	-0.114
OncotreeSubtype	AML with Maturation	1	GTF2I	non_specific	601	0.676078	6.67	-0.114
OncotreeSubtype	AML with Maturation	1	XBP1	non_specific	612	0.676162	6.66	-0.114
OncotreeSubtype	AML with Maturation	1	STAT3	non_specific	256	0.672813	6.63	-0.114
OncotreeSubtype	AML with Maturation	1	MYBL2	non_specific	393	0.67431	6.63	-0.114
OncotreeSubtype	AML with Maturation	1	E2F4	non_specific	459	0.674866	6.59	-0.114
