	Acute Myeloid Leukemia	Adenosquamous Carcinoma of the Pancreas	Adrenocortical Carcinoma	Ampullary Carcinoma	Anaplastic Thyroid Cancer	B-Lymphoblastic Leukemia/Lymphoma	Bladder Squamous Cell Carcinoma	Bladder Urothelial Carcinoma	Breast Ductal Carcinoma In Situ	Breast Neoplasm, NOS	CIC-DUX4 Sarcoma	Cervical Adenocarcinoma	Cervical Squamous Cell Carcinoma	Chondrosarcoma	Colorectal Adenocarcinoma	Cutaneous Squamous Cell Carcinoma	Diffuse Glioma	Embryonal Tumor	Endometrial Carcinoma	Epithelioid Sarcoma	Esophageal Squamous Cell Carcinoma	Esophagogastric Adenocarcinoma	Ewing Sarcoma	Fibrosarcoma	Gestational Trophoblastic Disease	Glassy Cell Carcinoma of the Cervix	Head and Neck Carcinoma, Other	Head and Neck Squamous Cell Carcinoma	Hepatoblastoma	Hepatocellular Carcinoma	Hepatocellular Carcinoma plus Intrahepatic Cholangiocarcinoma	Hodgkin Lymphoma	Intracholecystic Papillary Neoplasm	Intraductal Papillary Neoplasm of the Bile Duct	Invasive Breast Carcinoma	Leiomyosarcoma	Liposarcoma	Lung Neuroendocrine Tumor	Mature B-Cell Neoplasms	Mature T and NK Neoplasms	Medullary Thyroid Cancer	Melanoma	Meningothelial Tumor	Merkel Cell Carcinoma	Mixed Cervical Carcinoma	Mucosal Melanoma of the Vulva/Vagina	Myelodysplastic Syndromes	Myeloproliferative Neoplasms	Nerve Sheath Tumor	Neuroblastoma	Non-Cancerous	Non-Hodgkin Lymphoma	Non-Seminomatous Germ Cell Tumor	Non-Small Cell Lung Cancer	Ocular Melanoma	Osteosarcoma	Ovarian Cancer, Other	Ovarian Epithelial Tumor	Ovarian Germ Cell Tumor	Pancreatic Adenocarcinoma	Pancreatic Neuroendocrine Tumor	Pleural Mesothelioma	Poorly Differentiated Thyroid Cancer	Prostate Adenocarcinoma	Prostate Small Cell Carcinoma	Renal Cell Carcinoma	Retinoblastoma	Rhabdoid Cancer	Rhabdomyosarcoma	SMARCA4-deficient undifferentiated tumor	Sarcoma, NOS	Small Bowel Cancer	Squamous Cell Carcinoma of the Vulva/Vagina	Synovial Sarcoma	T-Lymphoblastic Leukemia/Lymphoma	Undifferentiated Pleomorphic Sarcoma/Malignant Fibrous Histiocytoma/High-Grade Spindle Cell Sarcoma	Urethral Cancer	Uterine Sarcoma/Mesenchymal	Well-Differentiated Thyroid Cancer
NFYA	0.655744	0.662316	0.65834	0.659227	0.65749	0.654635	0.663494	0.659615	0.657771	0.649645	0.655484	0.662437	0.663229	0.660328	0.659585	0.661068	0.658949	0.660494	0.658533	0.660493	0.661304	0.65932	0.652475	0.658546	0.663675	0.661194	0.666628	0.663534	0.660498	0.655518	0.662655	0.657695	0.661335	0.662122	0.658739	0.660802	0.66156	0.653119	0.657559	0.657934	0.651549	0.659309	0.659033	0.660115	0.659479	0.662775	0.657623	0.655805	0.661659	0.654043	0.661569	0.659009	0.666466	0.658029	0.658691	0.658215	0.658714	0.660282	0.660225	0.659705	0.654397	0.66082	0.662664	0.655597	0.651798	0.661639	0.657969	0.657446	0.657885	0.65471	0.656258	0.653211	0.680228	0.661467	0.653806	0.66116	0.655472	0.662754	0.659651
ARX	0.679276	0.662377	0.674037	0.68265	0.690291	0.669461	0.693147	0.681276	0.617042	0.686424	0.686424	0.675157	0.686756	0.693147	0.662521	0.685088	0.657227	0.628651	0.679707	0.693147	0.667719	0.656652	0.448185	0.66774	0.684563	0.689451	0.531482	0.684177	0.687928	0.677646	0.66774	0.646152	0.679552	0.673449	0.640162	0.691745	0.672602	0.589636	0.652557	0.681149	0.693147	0.678118	0.687182	0.689461	0.693147	0.693147	0.693147	0.66352	0.682048	0.671016	0.691129	0.682471	0.685519	0.649606	0.687648	0.67868	0.693147	0.667509	0.693147	0.679064	0.470371	0.678985	0.693147	0.622842	0.632841	0.664897	0.687928	0.649563	0.656215	0.607777	0.693147	0.656624	0.683662	0.652161	0.678158	0.687899	0.691138	0.691147	0.686961
HOXA11	0.642355	0.662773	0.690302	0.648603	0.666689	0.67209	0.626926	0.644174	0.66525	0.691592	0.689122	0.645012	0.640898	0.639258	0.625511	0.654762	0.662993	0.677699	0.639949	0.6568	0.640895	0.640451	0.680366	0.692306	0.692565	0.624263	0.667723	0.649345	0.66142	0.66687	0.693147	0.679746	0.659623	0.664019	0.668265	0.624901	0.634591	0.647799	0.687847	0.677	0.689701	0.659483	0.685268	0.637692	0.673502	0.679589	0.692306	0.669332	0.630283	0.677604	0.647449	0.66669	0.691389	0.656741	0.638347	0.61975	0.635563	0.662411	0.691592	0.654227	0.636223	0.667019	0.693147	0.650027	0.629785	0.656563	0.689772	0.661116	0.656332	0.652634	0.666262	0.679969	0.673199	0.647908	0.666464	0.656403	0.656481	0.657735	0.660601
MEOX1	0.681643	0.569097	0.688221	0.68728	0.679344	0.677827	0.691261	0.674073	0.690644	0.66824	0.514267	0.642544	0.684766	0.693147	0.686525	0.679002	0.661813	0.60309	0.607949	0.57536	0.650174	0.665817	0.630939	0.691253	0.683134	0.688221	0.685547	0.663	0.690445	0.669766	0.689674	0.682961	0.691544	0.682937	0.674893	0.685014	0.656489	0.690359	0.680897	0.662131	0.693147	0.687582	0.657616	0.581981	0.693147	0.693147	0.689674	0.691734	0.658334	0.691329	0.680263	0.661756	0.693147	0.667909	0.692701	0.677774	0.693147	0.594053	0.67555	0.67294	0.689674	0.684773	0.686851	0.690632	0.685547	0.677452	0.692125	0.574446	0.547281	0.67867	0.685547	0.688221	0.685547	0.576496	0.680884	0.629005	0.685553	0.608285	0.685883
SOX8	0.677	0.687724	0.628031	0.676698	0.692589	0.680772	0.692425	0.687881	0.673261	0.675098	0.553292	0.689533	0.673345	0.650158	0.65748	0.68096	0.672865	0.632825	0.659116	0.691804	0.649056	0.641615	0.614094	0.691804	0.692646	0.693147	0.690675	0.68462	0.687303	0.675761	0.693147	0.691476	0.690012	0.677532	0.666014	0.688759	0.666389	0.671057	0.679459	0.682933	0.687707	0.606159	0.658462	0.678606	0.68593	0.687707	0.689632	0.67343	0.681493	0.683901	0.679923	0.690776	0.61426	0.67687	0.601973	0.655918	0.639092	0.665193	0.681176	0.666474	0.675726	0.674569	0.691804	0.654633	0.6721	0.684729	0.640052	0.593237	0.527236	0.635323	0.690675	0.562607	0.693147	0.564784	0.689484	0.665048	0.691227	0.618476	0.675381
ZNF195	0.657907	0.659907	0.657206	0.658163	0.662394	0.654582	0.662885	0.659592	0.661061	0.653427	0.654352	0.661444	0.662183	0.657361	0.656201	0.661562	0.661482	0.657348	0.658765	0.661866	0.662646	0.659416	0.654926	0.659153	0.657247	0.657471	0.658602	0.662731	0.662729	0.659481	0.659311	0.658334	0.663421	0.660627	0.662346	0.663862	0.664757	0.65207	0.656461	0.657848	0.654215	0.660389	0.659134	0.660035	0.660235	0.66189	0.664467	0.658332	0.661026	0.653164	0.663196	0.656163	0.653645	0.659783	0.661822	0.66192	0.656385	0.661402	0.655091	0.658343	0.649234	0.662	0.663251	0.656776	0.649949	0.660316	0.651893	0.655872	0.655552	0.659576	0.668749	0.659442	0.670194	0.661055	0.655913	0.660608	0.658419	0.657987	0.66479
ZFX	0.66048	0.658138	0.654777	0.659872	0.660593	0.65465	0.667562	0.658476	0.659902	0.660319	0.653138	0.658152	0.65582	0.654278	0.660934	0.65779	0.65684	0.661633	0.657033	0.664659	0.660516	0.660514	0.656921	0.657633	0.663017	0.652232	0.665539	0.663199	0.662511	0.657001	0.656906	0.656878	0.663171	0.662485	0.660372	0.656892	0.658446	0.656687	0.659589	0.658912	0.656483	0.659635	0.65778	0.655967	0.649574	0.664885	0.667997	0.661678	0.657883	0.660357	0.658478	0.658714	0.666038	0.659457	0.661211	0.658469	0.653338	0.659487	0.656333	0.66164	0.663312	0.656493	0.662141	0.657204	0.65024	0.661781	0.660478	0.655466	0.659568	0.655499	0.65616	0.661413	0.673103	0.657992	0.658321	0.665343	0.656939	0.654259	0.66012
YBX2	0.6709	0.680563	0.641852	0.667276	0.657704	0.682033	0.690548	0.674983	0.622127	0.625211	0.692508	0.667607	0.645316	0.681843	0.623711	0.669097	0.677603	0.666792	0.640903	0.649636	0.658346	0.646098	0.639304	0.690975	0.637381	0.63547	0.63237	0.664698	0.638299	0.67154	0.693147	0.676278	0.667412	0.662774	0.62466	0.690679	0.690925	0.633516	0.68144	0.667647	0.664843	0.675329	0.685865	0.670731	0.638299	0.67892	0.685854	0.66251	0.683254	0.67962	0.679582	0.688912	0.624773	0.645869	0.6767	0.668688	0.603506	0.646559	0.623737	0.674732	0.690513	0.671949	0.683591	0.656498	0.632277	0.661664	0.634714	0.658458	0.681476	0.621337	0.688811	0.617606	0.652851	0.63945	0.636578	0.686948	0.678707	0.680301	0.684198
ZNF263	0.658419	0.658531	0.65914	0.660302	0.659586	0.656362	0.663805	0.659489	0.659277	0.655351	0.654226	0.661961	0.662151	0.656966	0.658807	0.662045	0.659158	0.661102	0.658923	0.661013	0.659983	0.659402	0.656775	0.659891	0.660662	0.653212	0.660639	0.662349	0.661756	0.659574	0.652297	0.659576	0.662789	0.659937	0.659285	0.660329	0.66351	0.655303	0.657937	0.659063	0.657319	0.659292	0.660137	0.660405	0.658976	0.660248	0.656489	0.657762	0.659991	0.656724	0.661016	0.659899	0.659721	0.659004	0.660208	0.660881	0.65255	0.660271	0.658867	0.660118	0.657493	0.657151	0.656249	0.658677	0.653575	0.658936	0.658266	0.656602	0.659051	0.65806	0.66304	0.655037	0.675463	0.659377	0.658487	0.660504	0.658502	0.658612	0.659851
DLX6	0.684109	0.660499	0.636387	0.682691	0.691911	0.691787	0.690987	0.66296	0.681779	0.61855	0.657026	0.639548	0.665268	0.630479	0.669091	0.681601	0.670149	0.660067	0.635924	0.693147	0.642668	0.673238	0.646481	0.648054	0.61468	0.635393	0.575563	0.661157	0.637593	0.660251	0.636069	0.680397	0.686765	0.683372	0.675299	0.664728	0.68178	0.610137	0.687892	0.687671	0.625994	0.665265	0.690633	0.656235	0.654548	0.64948	0.691823	0.6862	0.652664	0.628872	0.6856	0.684146	0.680379	0.662059	0.657423	0.639971	0.693147	0.65074	0.640328	0.678631	0.622871	0.685142	0.692432	0.679267	0.603585	0.688531	0.621489	0.684418	0.678813	0.650821	0.691823	0.653234	0.690207	0.652735	0.686479	0.670134	0.64438	0.650656	0.673648
