	Adrenal Gland	Ampulla of Vater	Biliary Tract	Bladder/Urinary Tract	Bone	Bowel	Breast	CNS/Brain	Cervix	Esophagus/Stomach	Eye	Fibroblast	Head and Neck	Kidney	Liver	Lung	Lymphoid	Myeloid	Ovary/Fallopian Tube	Pancreas	Peripheral Nervous System	Pleura	Prostate	Skin	Soft Tissue	Testis	Thyroid	Uterus	Vulva/Vagina
NFYA	0.614441	0.616348	0.622329	0.617138	0.608135	0.616934	0.614847	0.616324	0.623933	0.617814	0.617973	0.621436	0.625771	0.619626	0.609776	0.610873	0.611353	0.608984	0.618515	0.617369	0.60769	0.619781	0.616796	0.616795	0.616563	0.632054	0.614211	0.616566	0.642189
ARX	0.642584	0.664691	0.643452	0.663789	0.344479	0.613842	0.559602	0.591495	0.668199	0.60752	0.676525	0.690829	0.657214	0.625869	0.652567	0.541729	0.611035	0.643935	0.628673	0.637348	0.638998	0.655189	0.590628	0.654803	0.607535	0.672244	0.682366	0.660608	0.678683
HOXA11	0.686766	0.601018	0.630305	0.591681	0.602027	0.557624	0.640617	0.636938	0.589091	0.585368	0.621222	0.592525	0.60304	0.611659	0.638336	0.612626	0.665616	0.604408	0.628749	0.612031	0.641787	0.637817	0.584345	0.620477	0.603915	0.689173	0.637663	0.593682	0.656961
MEOX1	0.678452	0.675739	0.666877	0.642875	0.583015	0.673639	0.644308	0.576614	0.635711	0.604617	0.691605	0.673455	0.610776	0.565265	0.633116	0.636921	0.647	0.667593	0.451837	0.62347	0.668812	0.668598	0.686213	0.659254	0.442175	0.693147	0.663416	0.487235	0.680655
SOX8	0.554065	0.655594	0.661372	0.681638	0.563771	0.610882	0.634423	0.628862	0.659521	0.585906	0.559845	0.652623	0.673493	0.631563	0.656577	0.649984	0.666948	0.654335	0.630924	0.635096	0.670802	0.650918	0.645914	0.521795	0.475032	0.526897	0.673977	0.612331	0.686061
ZNF195	0.61247	0.614513	0.620727	0.617809	0.614078	0.61042	0.622815	0.619837	0.62201	0.619233	0.622477	0.627685	0.624165	0.617627	0.617846	0.61365	0.610735	0.614449	0.621086	0.614664	0.606389	0.62274	0.611794	0.619392	0.616861	0.60491	0.624484	0.615388	0.631307
ZFX	0.60692	0.617827	0.623701	0.615662	0.612443	0.620129	0.618599	0.613231	0.609306	0.619212	0.61825	0.613876	0.625098	0.619222	0.612547	0.615263	0.61487	0.620138	0.616517	0.621437	0.618044	0.61058	0.617952	0.616823	0.614718	0.631193	0.618642	0.612073	0.637478
YBX2	0.582707	0.635527	0.627494	0.654177	0.606826	0.546309	0.549352	0.654445	0.598641	0.598597	0.653497	0.682507	0.628755	0.62494	0.639854	0.582987	0.651642	0.638367	0.590185	0.652527	0.663499	0.645557	0.586097	0.651752	0.651632	0.548564	0.638783	0.587209	0.630833
ZNF263	0.616391	0.618887	0.61906	0.617516	0.614965	0.615568	0.616642	0.617278	0.621426	0.617324	0.61807	0.620979	0.623239	0.61542	0.617061	0.614038	0.614056	0.61437	0.618546	0.618274	0.612282	0.612132	0.616439	0.617125	0.617951	0.617637	0.616801	0.616136	0.634638
DLX6	0.545878	0.663323	0.666625	0.611794	0.56066	0.62649	0.642168	0.627541	0.594385	0.612145	0.604688	0.670965	0.602061	0.678083	0.597166	0.57201	0.677375	0.669192	0.582826	0.647139	0.53623	0.670091	0.637893	0.618537	0.642153	0.657015	0.653202	0.544113	0.622952
