	AASTR	ABC	ACC	ACRM	ALCLALKN	ALCLALKP	AM	AMKL	AML	AMLGATA2MECOM	AMOL	AMPCA	ARMS	ASTR	ATLL	ATRT	BL	BLCA	BLL	BLLBCRABL1	BLLBCRABL1L	BLLETV6RUNX1	BLLHYPO	BLLKMT2A	BLLTCF3PBX1	BLSC	BNNOS	BPLL	BRCA	BRCNOS	BTMOV	CCOV	CCRCC	CDS	CEAD	CEGCC	CELNOS	CESC	CHOL	CHS	CLLSLL	CMLBCRABL1	COAD	COADREAD	CSCC	DA	DCIS	DDCHS	DDLS	DLBCLNOS	DSTAD	ECAD	EHCH	EMBCA	EMCHS	EOV	EPIS	ERMS	ERT	ES	ESCA	ESCC	ESS	ETPLL	FIBS	FTCL	GB	GBAD	GBC	GCB	GCLC	GEJ	GSARC	HCC	HCCIHCH	HGSOC	HL	HNSC	HPHSC	HSTCL	IDC	IHCH	ILC	LCLC	LIHB	LIPO	LMS	LUAD	LUAS	LUCA	LUMEC	LUSC	LXSC	MACR	MBL	MBN	MCC	MCCE	MCL	MDS	MEL	MFH	MLADS	MNG	MOV	MPNST	MRC	MRT	MSTAD	MTNN	MXOV	MYCF	NBL	NKCLL	NMCHN	NSCLC	NSCLCPD	NUTCL	OCSC	ODG	OMGCT	OOVC	OPHSC	OS	PAAD	PAASC	PANET	PCM	PEL	PLBMESO	PLEMESO	PLSMESO	PNET	PRAD	PRCC	PRSCC	RBL	RCC	READ	RMS	SARCNOS	SCCO	SCLC	SKCM	SMARCA4-UT	SMZL	SNSC	SOC	SS	SSRCC	STAD	STAS	STSC	SYNS	THAP	THFO	THME	THPA	THPD	TLL	TSTAD	TT	UASC	UCCA	UCCC	UCEC	UCS	UCU	ULMS	UM	USARC	VMM	VSC	WDLS	ZFIB	ZFIBBON	ZFIBBRE	ZFIBCOL	ZFIBLUN	ZFIBLYM	ZFIBSKI	ZFIBSOF	ZFIBUPA	ZFIBURT	ZHYPP	ZIMMBR	ZIMMEKC	ZIMMEPCNS	ZIMMEPCP	ZIMMEPCRT	ZIMMLUNG	ZIMMOV
NFYA	0.676527	0.674712	0.676454	0.67685	0.678632	0.676136	0.67372	0.674387	0.675203	0.673155	0.676567	0.676893	0.677648	0.676314	0.67456	0.679465	0.675884	0.677085	0.676703	0.671666	0.671354	0.674408	0.674325	0.675506	0.672318	0.678996	0.67213	0.677628	0.677182	0.675562	0.677673	0.678512	0.678458	0.675039	0.678281	0.677864	0.672642	0.678865	0.679917	0.676927	0.679446	0.675351	0.676694	0.682006	0.677802	0.673909	0.676173	0.677425	0.677742	0.675256	0.677487	0.678606	0.678612	0.680507	0.677962	0.674725	0.677518	0.674481	0.676165	0.673542	0.678089	0.677918	0.678484	0.67153	0.676556	0.682441	0.67691	0.678155	0.676836	0.678661	0.673902	0.678353	0.675189	0.675056	0.678583	0.676842	0.676135	0.678482	0.678779	0.67631	0.676329	0.678189	0.676848	0.67594	0.677521	0.677355	0.677671	0.676331	0.675921	0.676153	0.676598	0.676426	0.677519	0.676867	0.677044	0.677166	0.677332	0.677017	0.675328	0.6761	0.677042	0.677847	0.673033	0.676797	0.677285	0.678093	0.679734	0.675881	0.679157	0.676407	0.679011	0.676982	0.674323	0.680584	0.680532	0.677225	0.677358	0.675414	0.679272	0.676977	0.677386	0.67664	0.679453	0.676393	0.677129	0.678416	0.674499	0.676148	0.675103	0.677226	0.677821	0.678431	0.675616	0.675095	0.677517	0.673204	0.676271	0.677628	0.678768	0.675963	0.675423	0.677448	0.673815	0.676508	0.674654	0.679097	0.677479	0.678289	0.675364	0.675757	0.676941	0.676845	0.67357	0.677998	0.676034	0.676924	0.673081	0.678002	0.678588	0.673345	0.675187	0.680344	0.675353	0.679085	0.67594	0.676495	0.677967	0.675033	0.679186	0.676628	0.677684	0.678642	0.687109	0.67915	0.674893	0.677652	0.678916	0.679054	0.677774	0.67793	0.67807	0.679394	0.676743	0.677507	0.677821	0.676628	0.676235	0.676437	0.679582	0.678681	0.674844	0.676637
ARX	0.691146	0.692396	0.682543	0.687332	0.687026	0.69193	0.689481	0.685944	0.683963	0.689481	0.691163	0.687385	0.680632	0.660667	0.6866	0.676852	0.692293	0.686617	0.67664	0.691146	0.692067	0.661468	0.685234	0.681048	0.686093	0.693147	0.689481	0.693147	0.668669	0.689517	0.691146	0.688482	0.689938	0.689481	0.690311	0.691146	0.693147	0.689664	0.693147	0.693147	0.69161	0.675734	0.674378	0.693147	0.68874	0.67258	0.649296	0.693147	0.669337	0.678195	0.679675	0.678996	0.663737	0.690311	0.693147	0.608445	0.693147	0.663825	0.654437	0.54295	0.662813	0.678952	0.693147	0.693147	0.678964	0.674613	0.67414	0.689279	0.670627	0.691751	0.68801	0.677836	0.692067	0.68458	0.678964	0.690456	0.666497	0.692072	0.685628	0.693147	0.661313	0.68714	0.647143	0.664847	0.690311	0.693147	0.692396	0.66292	0.678776	0.635164	0.680123	0.686372	0.682243	0.690584	0.683603	0.692396	0.691152	0.693147	0.680866	0.693147	0.68428	0.690294	0.690294	0.689899	0.674962	0.687048	0.685131	0.682439	0.689481	0.682955	0.693147	0.677836	0.68083	0.690311	0.59669	0.660828	0.693147	0.693147	0.688744	0.690601	0.693147	0.693147	0.691146	0.685162	0.685377	0.675893	0.557491	0.651538	0.590592	0.689267	0.683593	0.687948	0.579827	0.652755	0.682689	0.658682	0.690311	0.664494	0.680096	0.664323	0.693147	0.687539	0.632705	0.686591	0.64374	0.693147	0.689481	0.689303	0.670627	0.691146	0.682247	0.667832	0.584683	0.669995	0.691606	0.689194	0.693147	0.693147	0.693147	0.683333	0.673769	0.686505	0.676154	0.688449	0.691146	0.685956	0.691601	0.692067	0.691155	0.690156	0.693147	0.693147	0.687948	0.691146	0.693147	0.692628	0.692745	0.692396	0.692745	0.691757	0.693147	0.693147	0.693147	0.693147	0.685131	0.693147	0.693147	0.689481	0.693147	0.689254	0.689481	0.693147
HOXA11	0.679752	0.692911	0.691968	0.68118	0.683136	0.686553	0.678236	0.692368	0.669955	0.661924	0.665513	0.67343	0.685588	0.681251	0.692369	0.692806	0.692602	0.671387	0.688574	0.691232	0.692508	0.661747	0.689894	0.673828	0.693147	0.663333	0.692508	0.692804	0.682536	0.680241	0.670499	0.681233	0.676284	0.69147	0.669942	0.662075	0.667655	0.66987	0.684414	0.689132	0.692885	0.683839	0.662906	0.671391	0.676251	0.687526	0.681	0.636499	0.660838	0.688406	0.674937	0.673018	0.674539	0.692964	0.693147	0.673073	0.67718	0.665549	0.678062	0.687699	0.671348	0.669868	0.668916	0.637158	0.692804	0.688038	0.67939	0.676026	0.693147	0.693147	0.670527	0.677985	0.688854	0.681727	0.693147	0.679959	0.687429	0.681592	0.669558	0.683896	0.682335	0.681791	0.682733	0.677305	0.679274	0.666365	0.662377	0.678232	0.677585	0.664834	0.662357	0.678089	0.669956	0.653263	0.683149	0.681567	0.668379	0.684681	0.691995	0.692804	0.678009	0.676999	0.677985	0.689824	0.671024	0.664912	0.692231	0.680072	0.691968	0.681725	0.678152	0.69034	0.68649	0.682517	0.682109	0.673261	0.647	0.674359	0.673755	0.679985	0.692508	0.667386	0.665151	0.659937	0.676007	0.679885	0.667694	0.691863	0.678492	0.677448	0.683103	0.691968	0.686758	0.674084	0.675211	0.664678	0.691744	0.677353	0.66326	0.692508	0.681454	0.691464	0.673243	0.679288	0.675279	0.693147	0.687694	0.682889	0.658782	0.67216	0.669396	0.6669	0.64572	0.67311	0.681646	0.682687	0.691715	0.662357	0.693147	0.686799	0.665993	0.69147	0.660704	0.692911	0.667929	0.672018	0.661027	0.677034	0.676249	0.668684	0.691232	0.68736	0.684547	0.676315	0.649981	0.659972	0.6789	0.657562	0.687074	0.681175	0.671573	0.691011	0.692804	0.645197	0.656232	0.684283	0.646197	0.692804	0.668794	0.693147	0.692804	0.686405
MEOX1	0.690689	0.6928	0.690689	0.691264	0.657479	0.682046	0.693147	0.692217	0.691954	0.693147	0.665604	0.690212	0.587453	0.682184	0.690968	0.59524	0.69255	0.683397	0.675214	0.693147	0.690345	0.693147	0.692646	0.693147	0.690915	0.692217	0.680336	0.61523	0.680784	0.680945	0.690689	0.684411	0.691887	0.593297	0.688702	0.690689	0.692213	0.68893	0.693147	0.693147	0.671875	0.692467	0.689649	0.693147	0.685962	0.690689	0.691909	0.693147	0.690531	0.690462	0.692461	0.654424	0.691202	0.693147	0.693147	0.658712	0.629034	0.640509	0.643646	0.66024	0.667028	0.670703	0.661283	0.692213	0.692213	0.693147	0.674994	0.692738	0.690689	0.693147	0.674094	0.693147	0.68049	0.681139	0.691422	0.613562	0.688005	0.673769	0.688965	0.692213	0.684223	0.687106	0.693005	0.680464	0.691809	0.65995	0.689058	0.677	0.688034	0.691422	0.692213	0.689068	0.673271	0.687466	0.675199	0.693147	0.632821	0.693147	0.689105	0.691422	0.689939	0.659178	0.693147	0.674696	0.687616	0.675079	0.684168	0.616455	0.690689	0.66424	0.693147	0.693147	0.692251	0.693147	0.68933	0.678739	0.68869	0.693147	0.677314	0.684949	0.684168	0.693147	0.682667	0.685326	0.682805	0.625437	0.691422	0.687461	0.689994	0.684334	0.690879	0.693147	0.669082	0.691902	0.693147	0.68933	0.692646	0.678007	0.691277	0.68869	0.68933	0.598677	0.691773	0.692004	0.68579	0.676205	0.693147	0.638281	0.60807	0.691426	0.678376	0.687471	0.692217	0.629686	0.68614	0.688871	0.693147	0.693147	0.689994	0.685554	0.680261	0.693147	0.688761	0.688094	0.690689	0.638999	0.669112	0.689333	0.663926	0.69293	0.608786	0.693147	0.68933	0.670313	0.666546	0.691773	0.689842	0.692501	0.690635	0.687115	0.690702	0.690046	0.690689	0.692213	0.693147	0.690689	0.626284	0.690689	0.692558	0.692962	0.68933	0.670827
SOX8	0.690392	0.670334	0.658215	0.655711	0.692108	0.692836	0.693147	0.6914	0.685423	0.691377	0.692204	0.684657	0.581169	0.682647	0.680889	0.656774	0.682268	0.690482	0.686326	0.693147	0.693147	0.693147	0.678092	0.692791	0.680833	0.692789	0.683813	0.692478	0.68105	0.663365	0.693147	0.682614	0.691931	0.615385	0.689071	0.693147	0.693147	0.682885	0.692478	0.682847	0.692632	0.68242	0.672277	0.668451	0.686894	0.620847	0.682841	0.681032	0.667675	0.686951	0.646337	0.693147	0.678059	0.647006	0.65082	0.67027	0.692478	0.620961	0.638248	0.650409	0.675674	0.66981	0.693147	0.693147	0.692478	0.693147	0.682107	0.691294	0.693147	0.679308	0.664772	0.644012	0.69191	0.684163	0.693147	0.682538	0.692313	0.692632	0.69073	0.691908	0.676868	0.686679	0.688745	0.679309	0.690184	0.687875	0.690932	0.686232	0.689519	0.681921	0.692478	0.684368	0.675706	0.680187	0.687097	0.690948	0.685661	0.689477	0.681781	0.691377	0.647664	0.678463	0.651835	0.674919	0.662494	0.687172	0.693147	0.638839	0.693147	0.693147	0.690874	0.688198	0.688426	0.6914	0.691908	0.685503	0.693147	0.690392	0.68996	0.683889	0.687007	0.664343	0.692478	0.673542	0.679227	0.690401	0.684145	0.689276	0.692478	0.679507	0.684754	0.693147	0.614959	0.672845	0.679891	0.682225	0.664872	0.686809	0.686057	0.63834	0.691908	0.644966	0.681666	0.636538	0.662261	0.693147	0.692478	0.686802	0.691908	0.691908	0.665332	0.639217	0.69138	0.622118	0.692871	0.682414	0.690392	0.693147	0.692478	0.691137	0.665401	0.657768	0.65341	0.692899	0.692478	0.67605	0.686009	0.692187	0.666628	0.643549	0.602513	0.690392	0.693147	0.688521	0.690874	0.686626	0.689309	0.681671	0.689523	0.669072	0.680866	0.67384	0.689927	0.689477	0.689477	0.691377	0.69191	0.691908	0.692601	0.693147	0.692478	0.693147
ZNF195	0.679966	0.675004	0.675917	0.677219	0.677643	0.676437	0.678612	0.674586	0.676307	0.673912	0.676275	0.676391	0.675461	0.677932	0.675479	0.676206	0.674849	0.677097	0.674952	0.672505	0.674283	0.674834	0.673637	0.675241	0.674414	0.678717	0.674043	0.675273	0.677967	0.680941	0.67571	0.678823	0.677569	0.674503	0.678729	0.676049	0.676006	0.678372	0.676011	0.67808	0.675305	0.676502	0.675175	0.679219	0.678067	0.677022	0.67782	0.675005	0.679537	0.67501	0.677849	0.677533	0.67762	0.673996	0.674941	0.675088	0.678216	0.674318	0.675196	0.674788	0.677796	0.6786	0.67865	0.672496	0.67688	0.677945	0.677942	0.678804	0.679866	0.675865	0.678329	0.675331	0.679333	0.677042	0.676958	0.678874	0.676476	0.677332	0.680402	0.675837	0.678532	0.677668	0.678528	0.676375	0.67864	0.680516	0.679196	0.6771	0.678302	0.674324	0.674465	0.677274	0.677499	0.675403	0.676415	0.67522	0.677315	0.677413	0.675066	0.679493	0.677444	0.677597	0.677313	0.676871	0.676576	0.677803	0.676662	0.675309	0.679398	0.675582	0.680903	0.676494	0.673913	0.678547	0.676608	0.679038	0.675605	0.672736	0.678906	0.678388	0.67487	0.675511	0.678099	0.678243	0.67648	0.677252	0.671954	0.676515	0.675692	0.678289	0.678351	0.677293	0.674502	0.675705	0.676368	0.672311	0.67328	0.677521	0.676431	0.677365	0.681584	0.675602	0.673348	0.67775	0.677088	0.6743	0.673348	0.678232	0.674431	0.67587	0.676408	0.678092	0.6764	0.677818	0.678476	0.679904	0.674435	0.678404	0.678897	0.674954	0.677727	0.674465	0.674831	0.675938	0.677736	0.676679	0.677907	0.676517	0.67568	0.678194	0.675255	0.678228	0.682287	0.678895	0.679498	0.678991	0.680509	0.679824	0.679397	0.679589	0.679476	0.678821	0.678186	0.676736	0.672456	0.675799	0.677493	0.678408	0.67721	0.679996	0.673736	0.678148
ZFX	0.675346	0.674664	0.675007	0.678156	0.677893	0.676561	0.676684	0.673695	0.677973	0.672178	0.67811	0.677489	0.678412	0.675765	0.677091	0.678908	0.676711	0.67681	0.677029	0.675152	0.674394	0.674116	0.670499	0.67408	0.674626	0.681202	0.677705	0.67682	0.67749	0.67461	0.673458	0.679802	0.678584	0.674205	0.676926	0.673761	0.677894	0.675516	0.678301	0.672335	0.679389	0.678392	0.677757	0.682379	0.676476	0.678236	0.677503	0.676299	0.677531	0.677281	0.676952	0.676471	0.680045	0.679502	0.675712	0.67513	0.679805	0.676437	0.674882	0.676053	0.678666	0.677801	0.672977	0.673922	0.6764	0.680956	0.675982	0.67935	0.677782	0.677052	0.676164	0.680038	0.675392	0.676092	0.676046	0.678268	0.676032	0.678165	0.678567	0.677219	0.678162	0.678467	0.678004	0.676878	0.678768	0.67765	0.676039	0.67735	0.676532	0.671951	0.675605	0.67719	0.677883	0.675015	0.678335	0.677454	0.675588	0.672456	0.676083	0.68141	0.677463	0.680135	0.681652	0.676472	0.675757	0.676522	0.671256	0.675741	0.67786	0.676402	0.677481	0.67567	0.677724	0.677671	0.680229	0.679544	0.675391	0.671795	0.679457	0.678229	0.675766	0.674303	0.679198	0.676807	0.678346	0.676646	0.679155	0.678052	0.675995	0.675459	0.676189	0.67339	0.67743	0.676191	0.678661	0.672784	0.677783	0.678691	0.679824	0.674205	0.675682	0.673344	0.676026	0.6768	0.67536	0.677217	0.674632	0.676955	0.674572	0.678413	0.677584	0.676373	0.676363	0.676575	0.677838	0.677054	0.67584	0.680453	0.678588	0.676827	0.678377	0.682453	0.675366	0.679012	0.677613	0.675738	0.678657	0.676062	0.675448	0.678138	0.675168	0.679914	0.68385	0.674994	0.676791	0.675389	0.676458	0.677643	0.678001	0.676176	0.676464	0.676476	0.678273	0.677441	0.675119	0.674322	0.674546	0.67693	0.680379	0.676605	0.680001	0.674752
YBX2	0.684215	0.692	0.666129	0.684757	0.6916	0.685446	0.693147	0.658855	0.681729	0.69078	0.686682	0.679791	0.686697	0.684093	0.667792	0.688079	0.690084	0.683847	0.690612	0.693147	0.690783	0.680107	0.668203	0.692123	0.690614	0.691857	0.656995	0.692564	0.654049	0.682956	0.67511	0.679881	0.677194	0.692834	0.687631	0.662643	0.688474	0.668013	0.692564	0.686427	0.689453	0.676666	0.655733	0.658221	0.680754	0.652775	0.655287	0.684328	0.693059	0.685828	0.67264	0.675381	0.666915	0.664257	0.692071	0.655632	0.670353	0.689256	0.674221	0.66474	0.667328	0.675038	0.676263	0.690582	0.692071	0.688635	0.6861	0.681722	0.671251	0.691688	0.685775	0.687553	0.688804	0.682041	0.693147	0.66216	0.684524	0.684575	0.680685	0.682629	0.65786	0.679606	0.650905	0.665298	0.664191	0.690637	0.691923	0.665185	0.674001	0.662099	0.690582	0.676204	0.677683	0.655157	0.677884	0.691617	0.681615	0.664191	0.671796	0.689476	0.684395	0.690034	0.684841	0.689482	0.673605	0.688142	0.677267	0.675856	0.68061	0.690471	0.692834	0.691399	0.686263	0.690963	0.660942	0.667662	0.66763	0.672306	0.678608	0.673904	0.656179	0.644883	0.68061	0.680538	0.683716	0.686752	0.69184	0.689365	0.692071	0.684649	0.680651	0.692312	0.671355	0.674048	0.679129	0.66089	0.662228	0.676045	0.65864	0.679091	0.690981	0.668941	0.66156	0.682355	0.654849	0.686814	0.647399	0.672322	0.685519	0.648775	0.672252	0.645532	0.644983	0.66482	0.674694	0.687889	0.678501	0.692834	0.688316	0.657063	0.663664	0.642907	0.661893	0.663689	0.656574	0.666728	0.663879	0.685789	0.689931	0.684745	0.692564	0.6859	0.672088	0.692327	0.679551	0.691609	0.69109	0.690183	0.691931	0.690278	0.691402	0.691112	0.689476	0.692564	0.682931	0.686977	0.688574	0.691399	0.658953	0.693147	0.667157	0.671332
ZNF263	0.677825	0.675186	0.676854	0.676779	0.67888	0.676738	0.678557	0.676461	0.676508	0.675162	0.676704	0.677427	0.677169	0.676547	0.675516	0.677703	0.676032	0.677026	0.675897	0.674538	0.673894	0.675468	0.674912	0.676134	0.675319	0.679151	0.674977	0.676317	0.677045	0.677299	0.676809	0.678172	0.677047	0.674418	0.678552	0.673913	0.675608	0.678339	0.677235	0.67728	0.677296	0.676206	0.67653	0.67957	0.678286	0.674821	0.676921	0.675451	0.677969	0.676558	0.677087	0.678042	0.677167	0.676852	0.674628	0.675737	0.677778	0.676491	0.675529	0.675683	0.677725	0.67727	0.675706	0.67682	0.677224	0.680279	0.676871	0.678809	0.677872	0.677277	0.676464	0.675708	0.677091	0.677068	0.673458	0.677766	0.677069	0.677403	0.678926	0.676434	0.676672	0.677267	0.677395	0.675527	0.678144	0.681362	0.677441	0.677042	0.676591	0.675446	0.677363	0.676606	0.67715	0.676164	0.677645	0.677577	0.677478	0.676773	0.676016	0.675542	0.676838	0.677527	0.675422	0.677346	0.676926	0.677274	0.674965	0.675656	0.676841	0.676881	0.67632	0.676863	0.675658	0.67851	0.677594	0.677352	0.676136	0.676605	0.678695	0.677508	0.676719	0.673584	0.678493	0.677713	0.677336	0.676553	0.676039	0.676119	0.674938	0.675228	0.67609	0.676658	0.678496	0.676625	0.675297	0.674094	0.676422	0.676737	0.677448	0.67583	0.678776	0.67469	0.674942	0.677346	0.67632	0.675807	0.675974	0.677838	0.677399	0.67553	0.677068	0.67848	0.676075	0.676971	0.677074	0.677205	0.675953	0.677204	0.675422	0.67615	0.675909	0.67772	0.675862	0.677605	0.675601	0.676676	0.678155	0.676538	0.677904	0.677381	0.674904	0.677401	0.684825	0.678095	0.675807	0.67759	0.678362	0.678999	0.678188	0.677518	0.677897	0.676757	0.678137	0.678555	0.674651	0.677983	0.677925	0.677426	0.67813	0.677279	0.677063	0.677877
DLX6	0.693147	0.692985	0.656408	0.676326	0.687115	0.692944	0.692708	0.692913	0.688959	0.691646	0.676826	0.686582	0.689102	0.674598	0.686854	0.676673	0.692868	0.673879	0.691824	0.691325	0.69271	0.692517	0.693147	0.692521	0.692708	0.691812	0.644499	0.693147	0.68582	0.676152	0.693147	0.663759	0.690464	0.670008	0.675045	0.655748	0.692332	0.675379	0.693147	0.649281	0.693147	0.688618	0.6786	0.676084	0.685889	0.667526	0.686002	0.643083	0.680293	0.691964	0.681522	0.648646	0.692152	0.682943	0.666118	0.635803	0.693147	0.677808	0.687722	0.663086	0.684947	0.660568	0.647396	0.692332	0.664122	0.69198	0.679237	0.690253	0.684256	0.689498	0.692224	0.685026	0.67578	0.672114	0.656196	0.664796	0.685121	0.680159	0.671028	0.693147	0.677301	0.685715	0.692763	0.669644	0.657208	0.689374	0.675028	0.676099	0.676489	0.692332	0.692708	0.665032	0.670229	0.675814	0.669142	0.691773	0.669492	0.668387	0.6924	0.692332	0.675761	0.67853	0.692913	0.691591	0.681988	0.667152	0.691325	0.687641	0.69198	0.683791	0.662443	0.69198	0.651406	0.69252	0.615291	0.671343	0.693147	0.659615	0.673302	0.680519	0.65902	0.693147	0.658772	0.658784	0.683993	0.672276	0.647396	0.686082	0.691015	0.684503	0.690216	0.683521	0.672138	0.684399	0.67973	0.634408	0.64647	0.691729	0.674619	0.68906	0.692332	0.673292	0.637929	0.673559	0.665942	0.693147	0.652279	0.670907	0.692332	0.679935	0.679749	0.680563	0.659452	0.667198	0.692386	0.678735	0.649485	0.693147	0.692708	0.688136	0.68114	0.689859	0.641818	0.641897	0.655782	0.655979	0.668872	0.661699	0.686919	0.670268	0.649738	0.66506	0.691325	0.691373	0.692332	0.680808	0.6916	0.692985	0.692649	0.690404	0.688759	0.689562	0.690715	0.693147	0.685835	0.68906	0.69271	0.692708	0.688084	0.686438	0.693147	0.693147
