sample	Additional New Primary	Metastatic	Primary Blood-Derived Cancer	Primary Solid Tumor	Recurrent Solid Tumor	Solid Tissue Normal
ADNP2	9.23	9.22	9.79	9.22	9.0	9.25
ADNP	11.14	11.35	11.59	11.15	11.07	10.92
AEBP1	11.37	14.04	8.42	11.97	11.3	11.95
AEBP2	9.87	9.15	9.37	9.45	9.16	9.51
AFF3	6.64	8.32	8.76	6.64	7.25	8.14
AHCTF1	10.27	10.31	10.55	10.24	9.96	10.06
AHDC1	10.09	9.53	9.84	9.72	9.99	9.74
AHR	8.81	10.84	10.82	10.58	9.45	10.96
AHRR	4.21	6.02	4.26	5.19	5.14	4.96
AIRE	3.78	0.59	0.65	0.8	1.64	0.44
AKAP8	9.79	9.44	10.19	9.47	9.39	9.31
AKAP8L	10.75	9.86	10.24	9.91	10.15	9.43
AKNA	10.37	9.65	12.28	9.48	9.2	9.58
ALX1	2.14	7.37	0.0	1.47	0.82	1.62
ALX3	4.46	4.82	4.27	4.55	5.07	4.28
ALX4	2.89	0.94	0.22	0.85	1.45	1.19
ANKZF1	9.91	9.13	9.93	9.46	9.43	8.86
AR	2.94	2.3	2.49	4.72	5.22	6.75
ARGFX	1.37	0.11	0.0	0.21	0.06	0.09
ARID1A	10.96	11.29	12.6	11.16	11.05	11.2
ARID1B	10.3	10.58	11.91	10.49	10.25	10.78
ARID2	9.44	9.17	10.74	9.42	9.19	9.4
ARID3A	7.38	6.88	8.74	6.57	5.98	5.92
ARID3B	8.61	6.96	8.57	7.17	6.6	6.98
ARID3C	0.58	0.65	0.0	0.81	1.56	0.88
ARID5A	9.51	9.26	9.21	9.01	9.22	9.3
ARID5B	9.83	10.45	8.88	10.16	9.85	10.75
ARNT2	7.11	11.21	1.18	8.64	10.86	8.92
ARNT	10.05	10.39	10.85	10.15	9.85	10.5
ARNTL2	5.97	4.39	5.78	6.28	5.72	5.16
ARNTL	6.92	7.12	7.08	7.77	8.21	7.92
ARX	2.74	2.03	0.0	2.57	4.11	2.35
ASCL1	3.03	1.89	0.0	2.45	6.48	1.87
