sample	ACC	BLCA	BRCA	CESC	CHOL	COAD	DLBC	ESCA	GBM	HNSC	KICH	KIRC	KIRP	LAML	LGG	LIHC	LUAD	LUSC	MESO	OV	PAAD	PCPG	PRAD	READ	SARC	SKCM	STAD	TGCT	THCA	THYM	UCEC	UCS	UVM
ADNP2	8.78	9.24	9.48	9.35	9.11	9.23	8.62	9.72	9.42	9.46	9.7	9.19	8.97	9.79	9.21	8.53	9.22	9.59	8.96	8.99	8.81	8.97	9.25	9.08	9.07	9.05	9.42	9.56	8.9	9.17	9.17	8.99	8.77
ADNP	10.81	11.13	11.7	11.11	11.0	11.23	10.41	11.7	11.14	11.0	11.06	10.92	10.62	11.59	11.12	10.19	10.99	11.37	11.1	11.69	10.75	10.77	11.23	11.4	10.88	11.09	11.41	11.64	10.95	11.02	11.03	11.59	11.13
AEBP1	9.02	11.4	13.43	11.28	11.95	11.39	11.6	11.65	12.76	12.2	9.22	12.48	11.24	8.42	10.37	9.8	12.54	12.24	13.23	11.81	13.95	11.34	12.19	11.42	12.91	14.83	12.14	11.98	11.11	12.89	11.22	12.61	14.32
AEBP2	10.18	9.57	9.19	9.76	9.07	9.21	9.1	10.08	9.0	9.91	9.64	9.67	9.44	9.37	8.94	8.31	9.52	10.12	9.45	9.85	9.14	9.24	9.34	9.13	9.23	8.91	9.64	10.9	9.91	9.55	9.24	9.5	8.69
AFF3	6.67	3.89	9.94	3.94	7.56	3.76	9.06	4.38	7.93	3.79	3.49	8.28	6.8	8.76	9.29	7.36	6.04	4.92	7.0	5.02	5.71	7.85	10.16	3.91	7.17	8.04	5.18	6.87	4.59	7.43	6.75	7.88	8.42
AHCTF1	10.52	10.27	10.83	10.34	10.31	10.04	9.42	11.11	9.61	10.28	9.63	10.14	9.51	10.55	10.17	10.27	10.27	10.54	10.0	10.05	10.1	10.17	10.0	10.07	9.88	9.85	10.52	10.67	10.11	10.01	10.2	10.36	8.71
AHDC1	10.87	9.39	9.49	9.97	8.8	8.64	8.63	9.83	10.16	10.28	8.87	9.6	9.58	9.84	10.51	8.49	9.72	9.95	10.22	10.46	9.89	10.36	8.92	8.66	10.47	9.53	9.07	9.77	10.62	10.53	10.0	10.44	9.63
AHR	10.06	11.87	10.59	10.49	10.07	10.67	10.58	12.06	9.4	11.35	9.69	10.95	10.98	10.82	8.02	10.59	11.86	11.66	10.3	10.55	11.86	8.44	9.29	10.67	10.17	10.47	11.86	8.85	11.19	9.26	10.41	9.48	6.09
AHRR	7.27	5.07	5.18	5.52	5.06	4.58	4.53	5.99	5.57	5.98	4.63	5.72	4.41	4.26	5.55	3.67	5.14	5.99	5.25	5.36	5.12	4.6	4.43	4.56	5.36	7.1	5.44	4.59	4.53	4.55	4.79	5.89	9.15
AIRE	0.37	0.51	0.26	0.36	0.98	0.91	1.0	0.33	2.62	0.65	0.07	0.68	0.84	0.65	2.55	0.53	0.53	0.74	0.38	0.29	1.19	1.02	0.36	1.36	0.81	0.28	0.74	6.06	0.31	2.14	0.36	1.21	0.18
AKAP8	9.63	9.69	9.37	9.62	9.57	9.66	9.82	9.67	9.29	9.54	9.27	9.82	9.27	10.19	9.21	9.13	9.22	9.48	9.46	9.59	9.51	9.13	9.38	9.7	9.58	9.51	9.52	10.09	9.24	9.8	9.53	9.59	9.26
AKAP8L	10.94	10.21	9.81	9.99	10.26	9.44	10.42	9.36	9.93	9.69	9.88	9.46	9.89	10.24	10.29	9.96	9.51	9.67	9.86	10.44	9.95	10.46	10.0	9.56	10.24	10.01	9.24	10.86	10.03	10.86	10.26	10.8	10.2
AKNA	7.98	9.11	9.21	9.3	9.14	9.77	12.29	9.2	8.98	9.18	9.31	9.75	8.95	12.28	9.67	8.76	9.96	9.13	9.51	9.03	9.72	10.22	9.1	9.78	9.83	9.0	9.89	10.54	9.87	11.24	9.7	8.94	9.69
ALX1	0.35	1.64	0.92	1.64	0.7	0.67	0.23	2.3	0.83	2.27	0.66	1.56	1.55	0.0	0.37	0.51	1.22	2.41	0.93	2.0	0.73	0.3	1.31	1.03	2.3	8.53	0.98	4.67	0.16	0.47	2.04	4.9	9.59
ALX3	3.66	4.4	4.22	5.06	4.48	4.0	3.38	4.8	5.56	4.8	4.44	4.21	4.38	4.27	5.48	3.81	4.4	4.74	4.98	4.97	4.19	4.96	4.59	4.07	4.8	4.78	4.12	5.58	4.55	4.73	4.37	6.42	5.63
ALX4	3.3	0.27	1.78	0.49	0.62	0.1	0.06	0.48	1.23	1.21	0.55	0.66	0.25	0.22	1.16	0.13	0.36	0.8	2.06	0.24	0.16	0.19	1.59	0.07	1.72	0.9	0.0	3.1	0.38	0.14	0.8	3.08	0.66
ANKZF1	9.14	9.44	9.18	9.56	9.86	9.72	10.05	9.37	8.97	9.2	7.93	9.61	9.55	9.93	9.29	9.47	9.57	9.49	9.17	10.09	9.68	9.15	9.69	9.77	8.89	9.1	9.31	9.78	9.16	10.03	10.03	9.82	9.41
AR	3.15	3.46	8.03	2.48	3.61	1.88	1.19	1.79	5.58	2.52	4.63	6.67	6.75	2.49	5.45	6.42	3.86	3.03	3.21	6.35	4.46	2.49	8.92	1.89	4.55	1.65	2.43	3.4	3.81	1.65	5.65	3.83	1.42
ARGFX	0.15	0.16	0.05	0.16	0.14	0.02	0.75	0.49	0.04	0.27	0.31	0.28	0.15	0.0	0.09	0.09	0.05	0.16	0.05	0.0	0.11	0.07	0.07	0.0	0.11	0.12	0.77	3.08	0.09	0.14	0.18	0.29	0.07
ARID1A	10.32	11.16	11.49	11.16	10.46	10.91	10.97	11.51	10.99	11.28	10.6	10.73	10.47	12.6	11.29	10.41	11.42	11.34	10.73	11.48	10.92	10.32	11.45	10.95	11.05	11.01	11.29	11.48	11.42	11.35	11.2	11.3	10.72
ARID1B	9.69	10.39	10.71	10.39	10.05	10.45	10.06	10.99	9.98	10.58	10.16	10.23	10.07	11.91	10.55	9.4	10.4	10.6	10.29	10.53	10.49	10.32	10.67	10.53	10.6	10.35	10.77	10.35	10.95	10.59	10.59	10.6	11.37
ARID2	9.27	9.23	9.94	9.41	9.44	9.21	8.62	9.79	9.03	9.4	9.49	9.63	9.17	10.74	9.32	8.4	9.19	9.6	9.13	9.57	9.21	9.13	9.54	9.2	9.02	8.75	9.64	9.68	9.4	9.83	9.71	9.51	8.69
ARID3A	6.82	6.83	6.37	6.1	6.17	7.97	7.76	7.09	5.69	6.99	7.74	6.06	5.29	8.74	5.38	6.46	6.92	7.12	6.07	6.01	6.2	6.24	6.06	8.48	6.55	6.54	7.26	8.8	5.7	6.34	6.98	7.19	6.09
ARID3B	6.49	7.49	6.9	7.27	7.35	7.65	8.15	7.54	6.5	7.41	6.45	6.74	6.5	8.57	6.34	6.82	7.41	7.94	6.09	6.84	7.42	6.7	7.34	7.7	6.38	6.69	7.63	10.2	6.62	7.56	7.75	7.77	5.63
