division	group	group_size	tf	category	jsd_rank	cacts_score	group_expr_log2tpm
SampleType	Additional New Primary	11	NFE2L1	non_specific	736	0.450327	12.91
SampleType	Additional New Primary	11	YBX1	non_specific	1137	0.459934	12.51
SampleType	Additional New Primary	11	SON	non_specific	913	0.454011	12.49
SampleType	Additional New Primary	11	NME2	non_specific	915	0.454074	12.48
SampleType	Additional New Primary	11	ATF4	non_specific	1015	0.456282	12.29
SampleType	Additional New Primary	11	STAT1	non_specific	769	0.450837	12.26
SampleType	Additional New Primary	11	MAZ	non_specific	823	0.452351	12.22
SampleType	Additional New Primary	11	HMGA1	non_specific	515	0.443659	12.12
SampleType	Additional New Primary	11	PA2G4	non_specific	818	0.452315	11.9
SampleType	Additional New Primary	11	UBTF	non_specific	766	0.450809	11.79
SampleType	Additional New Primary	11	JUND	non_specific	668	0.448417	11.78
SampleType	Additional New Primary	11	SOX4	non_specific	591	0.446158	11.73
SampleType	Additional New Primary	11	BCLAF1	non_specific	852	0.452964	11.67
SampleType	Additional New Primary	11	GATAD2A	non_specific	561	0.445182	11.65
SampleType	Additional New Primary	11	RERE	non_specific	812	0.452117	11.65
SampleType	Additional New Primary	11	BAZ2A	non_specific	732	0.450233	11.64
SampleType	Additional New Primary	11	USF2	non_specific	708	0.449627	11.61
SampleType	Additional New Primary	11	MBD3	non_specific	565	0.445289	11.6
SampleType	Additional New Primary	11	SAFB	non_specific	623	0.446913	11.58
SampleType	Additional New Primary	11	SRCAP	non_specific	1034	0.456718	11.58
SampleType	Additional New Primary	11	XBP1	non_specific	1134	0.459888	11.52
SampleType	Additional New Primary	11	STAT3	non_specific	1175	0.461298	11.48
SampleType	Additional New Primary	11	CREBL2	non_specific	441	0.440396	11.45
SampleType	Additional New Primary	11	GPBP1L1	non_specific	750	0.450599	11.43
SampleType	Additional New Primary	11	TSC22D1	non_specific	1182	0.461571	11.42
SampleType	Additional New Primary	11	KLF13	non_specific	787	0.451376	11.42
SampleType	Additional New Primary	11	AEBP1	non_specific	996	0.455864	11.37
SampleType	Additional New Primary	11	KDM2A	non_specific	980	0.455417	11.33
SampleType	Additional New Primary	11	ZNF207	non_specific	1043	0.457037	11.32
SampleType	Additional New Primary	11	EPAS1	non_specific	675	0.448708	11.28
SampleType	Additional New Primary	11	ZNF664	non_specific	983	0.455443	11.26
SampleType	Additional New Primary	11	ETV5	non_specific	291	0.426614	11.24
SampleType	Additional New Primary	11	SPEN	non_specific	885	0.453583	11.19
SampleType	Additional New Primary	11	MXD4	non_specific	665	0.448367	11.16
SampleType	Additional New Primary	11	SREBF2	non_specific	1183	0.46167	11.15
SampleType	Additional New Primary	11	ADNP	non_specific	956	0.454828	11.14
SampleType	Additional New Primary	11	HIF1A	non_specific	1085	0.458266	11.13
SampleType	Additional New Primary	11	STAT2	non_specific	944	0.454583	11.12
SampleType	Additional New Primary	11	JUNB	non_specific	1103	0.458766	11.11
SampleType	Additional New Primary	11	SP1	non_specific	1010	0.456204	11.09
SampleType	Additional New Primary	11	CIC	non_specific	775	0.451007	11.09
SampleType	Additional New Primary	11	PBX2	non_specific	598	0.446316	11.09
SampleType	Additional New Primary	11	TCF3	non_specific	641	0.447639	11.09
SampleType	Additional New Primary	11	ZNF428	non_specific	321	0.430268	11.03
SampleType	Additional New Primary	11	KDM5B	non_specific	800	0.451662	10.99
SampleType	Additional New Primary	11	ARID1A	non_specific	1136	0.459901	10.96
SampleType	Additional New Primary	11	GPBP1	non_specific	870	0.453312	10.95
SampleType	Additional New Primary	11	CGGBP1	non_specific	1011	0.456261	10.93
SampleType	Additional New Primary	11	NFKB2	non_specific	376	0.435813	10.91
SampleType	Additional New Primary	11	GLYR1	non_specific	1028	0.456561	10.9
SampleType	Additional New Primary	11	GTF2I	non_specific	1051	0.457223	10.9
SampleType	Additional New Primary	11	ETS1	non_specific	893	0.453683	10.89
SampleType	Additional New Primary	11	NR1H2	non_specific	704	0.449494	10.89
SampleType	Additional New Primary	11	MEF2D	non_specific	963	0.454957	10.87
SampleType	Additional New Primary	11	GTF3A	non_specific	991	0.455802	10.87
SampleType	Additional New Primary	11	HSF1	non_specific	804	0.45179	10.86
SampleType	Additional New Primary	11	SAFB2	non_specific	808	0.451829	10.86
SampleType	Additional New Primary	11	ZNF770	non_specific	442	0.440462	10.84
SampleType	Additional New Primary	11	PREB	non_specific	618	0.446802	10.82
SampleType	Additional New Primary	11	CENPB	non_specific	1013	0.456275	10.8
SampleType	Additional New Primary	11	SREBF1	non_specific	1021	0.456397	10.77
SampleType	Additional New Primary	11	ATMIN	non_specific	659	0.448182	10.77
SampleType	Additional New Primary	11	REPIN1	non_specific	1053	0.457282	10.77
SampleType	Additional New Primary	11	HKR1	non_specific	339	0.433016	10.77
SampleType	Additional New Primary	11	BPTF	non_specific	1016	0.456297	10.76
SampleType	Additional New Primary	11	AKAP8L	non_specific	495	0.442918	10.75
SampleType	Additional New Primary	11	HBP1	non_specific	842	0.452734	10.73
SampleType	Additional New Primary	11	BHLHE40	non_specific	1171	0.461156	10.73
SampleType	Additional New Primary	11	DRAP1	non_specific	676	0.448759	10.73
SampleType	Additional New Primary	11	ZNF146	non_specific	938	0.454377	10.73
SampleType	Additional New Primary	11	PATZ1	non_specific	636	0.447435	10.72
SampleType	Additional New Primary	11	IRF9	non_specific	575	0.445552	10.7
SampleType	Additional New Primary	11	MECP2	non_specific	898	0.45379	10.67
SampleType	Additional New Primary	11	NR4A1	non_specific	758	0.450703	10.66
SampleType	Additional New Primary	11	ZSCAN18	non_specific	407	0.43837	10.66
SampleType	Additional New Primary	11	STAT5B	non_specific	1104	0.458851	10.66
