division	group	group_size	tf	category	jsd_rank	cacts_score	group_expr_log2tpm
TCGASubtype	ACC.CIMP-high	19	NR5A1	specific	2	0.540372	14.22
TCGASubtype	ACC.CIMP-high	19	PEG3	specific	44	0.640736	13.25
TCGASubtype	ACC.CIMP-high	19	GATA6	specific	64	0.647432	10.87
TCGASubtype	ACC.CIMP-high	19	TBX3	specific	67	0.648128	14.03
TCGASubtype	ACC.CIMP-high	19	ZNF275	non_specific	116	0.654037	13.48
TCGASubtype	ACC.CIMP-high	19	NFE2L1	non_specific	527	0.663373	13.08
TCGASubtype	ACC.CIMP-high	19	JUND	non_specific	251	0.660923	12.82
TCGASubtype	ACC.CIMP-high	19	TSC22D3	non_specific	263	0.661054	12.75
TCGASubtype	ACC.CIMP-high	19	ATF4	non_specific	555	0.663537	12.69
TCGASubtype	ACC.CIMP-high	19	SREBF2	non_specific	343	0.66215	12.6
TCGASubtype	ACC.CIMP-high	19	NME2	non_specific	706	0.664231	12.56
TCGASubtype	ACC.CIMP-high	19	YBX1	non_specific	796	0.664559	12.51
TCGASubtype	ACC.CIMP-high	19	HIF1A	non_specific	402	0.662691	12.32
TCGASubtype	ACC.CIMP-high	19	MAZ	non_specific	558	0.66354	12.32
TCGASubtype	ACC.CIMP-high	19	MBD3	non_specific	261	0.661049	12.21
TCGASubtype	ACC.CIMP-high	19	PA2G4	non_specific	482	0.663167	12.14
TCGASubtype	ACC.CIMP-high	19	NR4A1	non_specific	249	0.660882	11.89
TCGASubtype	ACC.CIMP-high	19	USF2	non_specific	382	0.662539	11.88
TCGASubtype	ACC.CIMP-high	19	NR1D1	non_specific	149	0.656853	11.84
TCGASubtype	ACC.CIMP-high	19	NR1H2	non_specific	282	0.661469	11.79
TCGASubtype	ACC.CIMP-high	19	SON	non_specific	851	0.664816	11.77
TCGASubtype	ACC.CIMP-high	19	STAT6	non_specific	583	0.663709	11.73
TCGASubtype	ACC.CIMP-high	19	CREBL2	non_specific	259	0.661011	11.71
TCGASubtype	ACC.CIMP-high	19	JUN	non_specific	752	0.664371	11.71
TCGASubtype	ACC.CIMP-high	19	HMGN3	non_specific	247	0.660866	11.63
TCGASubtype	ACC.CIMP-high	19	JUNB	non_specific	665	0.664035	11.58
TCGASubtype	ACC.CIMP-high	19	ATF5	non_specific	233	0.660608	11.53
TCGASubtype	ACC.CIMP-high	19	CIC	non_specific	368	0.662408	11.52
TCGASubtype	ACC.CIMP-high	19	ID2	non_specific	267	0.661119	11.51
TCGASubtype	ACC.CIMP-high	19	BAZ2A	non_specific	535	0.663426	11.49
TCGASubtype	ACC.CIMP-high	19	BHLHE40	non_specific	767	0.664424	11.48
TCGASubtype	ACC.CIMP-high	19	BCLAF1	non_specific	654	0.663968	11.45
TCGASubtype	ACC.CIMP-high	19	AKAP8L	non_specific	222	0.66037	11.4
TCGASubtype	ACC.CIMP-high	19	FOSL2	non_specific	360	0.662345	11.4
TCGASubtype	ACC.CIMP-high	19	PBX1	non_specific	211	0.660073	11.33
TCGASubtype	ACC.CIMP-high	19	FOXK2	non_specific	338	0.662118	11.31
TCGASubtype	ACC.CIMP-high	19	GPBP1	non_specific	443	0.662949	11.31
TCGASubtype	ACC.CIMP-high	19	TSC22D1	non_specific	1009	0.665813	11.3
TCGASubtype	ACC.CIMP-high	19	CENPB	non_specific	540	0.663464	11.3
TCGASubtype	ACC.CIMP-high	19	DBP	non_specific	138	0.656346	11.29
TCGASubtype	ACC.CIMP-high	19	HSF1	non_specific	472	0.663119	11.29
TCGASubtype	ACC.CIMP-high	19	SLC2A4RG	non_specific	310	0.661763	11.26
TCGASubtype	ACC.CIMP-high	19	SMAD2	non_specific	407	0.66273	11.24
TCGASubtype	ACC.CIMP-high	19	WIZ	non_specific	309	0.661758	11.22
TCGASubtype	ACC.CIMP-high	19	ZNF207	non_specific	776	0.664469	11.22
TCGASubtype	ACC.CIMP-high	19	SAFB	non_specific	488	0.6632	11.22
TCGASubtype	ACC.CIMP-high	19	NFATC4	non_specific	130	0.655674	11.21
TCGASubtype	ACC.CIMP-high	19	MBD6	non_specific	366	0.662378	11.2
TCGASubtype	ACC.CIMP-high	19	SREBF1	non_specific	662	0.664029	11.19
TCGASubtype	ACC.CIMP-high	19	DRAP1	non_specific	387	0.662567	11.13
TCGASubtype	ACC.CIMP-high	19	REPIN1	non_specific	639	0.663913	11.12
TCGASubtype	ACC.CIMP-high	19	STAT3	non_specific	1031	0.665932	11.12
TCGASubtype	ACC.CIMP-high	19	SRCAP	non_specific	933	0.665236	11.1
TCGASubtype	ACC.CIMP-high	19	UBTF	non_specific	845	0.664796	11.06
TCGASubtype	ACC.CIMP-high	19	PHF1	non_specific	325	0.661934	11.05
TCGASubtype	ACC.CIMP-high	19	ZNF219	non_specific	188	0.659192	11.04
TCGASubtype	ACC.CIMP-high	19	HMG20B	non_specific	396	0.662667	11.04
TCGASubtype	ACC.CIMP-high	19	RBCK1	non_specific	621	0.66386	11.02
TCGASubtype	ACC.CIMP-high	19	AHDC1	non_specific	250	0.660912	11.01
TCGASubtype	ACC.CIMP-high	19	SAFB2	non_specific	449	0.662977	11.0
TCGASubtype	ACC.CIMP-high	19	RERE	non_specific	860	0.664855	10.98
TCGASubtype	ACC.CIMP-high	19	HBP1	non_specific	491	0.663207	10.97
TCGASubtype	ACC.CIMP-high	19	EPAS1	non_specific	905	0.665097	10.96
TCGASubtype	ACC.CIMP-high	19	MEF2D	non_specific	517	0.663328	10.96
TCGASubtype	ACC.CIMP-high	19	SP1	non_specific	792	0.664538	10.92
TCGASubtype	ACC.CIMP-high	19	GATAD2A	non_specific	604	0.663805	10.91
TCGASubtype	ACC.CIMP-high	19	PURB	non_specific	549	0.663524	10.91
TCGASubtype	ACC.CIMP-high	19	TFE3	non_specific	457	0.663017	10.91
TCGASubtype	ACC.CIMP-high	19	GLYR1	non_specific	740	0.66433	10.91
TCGASubtype	ACC.CIMP-high	19	CREB3	non_specific	319	0.661838	10.9
TCGASubtype	ACC.CIMP-high	19	BBX	non_specific	419	0.662787	10.9
TCGASubtype	ACC.CIMP-high	19	ZBTB4	non_specific	689	0.664163	10.89
TCGASubtype	ACC.CIMP-high	19	ZNF768	non_specific	347	0.662205	10.86
TCGASubtype	ACC.CIMP-high	19	FOXK1	non_specific	377	0.66248	10.85
TCGASubtype	ACC.CIMP-high	19	CEBPB	non_specific	294	0.661611	10.84
TCGASubtype	ACC.CIMP-high	19	ETV5	non_specific	204	0.659852	10.84
TCGASubtype	ACC.CIMP-high	19	ADNP	non_specific	810	0.66463	10.81
TCGASubtype	ACC.CIMP-high	19	NR2F6	non_specific	281	0.661447	10.81
TCGASubtype	ACC.CIMP-high	19	NFE2L2	non_specific	889	0.665008	10.79
TCGASubtype	ACC.CIMP-intermediate	27	NR5A1	specific	2	0.548901	13.14
TCGASubtype	ACC.CIMP-intermediate	27	PEG3	specific	37	0.641361	13.05
TCGASubtype	ACC.CIMP-intermediate	27	TBX3	specific	52	0.64857	13.86
TCGASubtype	ACC.CIMP-intermediate	27	ZNF275	non_specific	86	0.653876	13.55
TCGASubtype	ACC.CIMP-intermediate	27	TSC22D3	non_specific	233	0.66039	13.07
TCGASubtype	ACC.CIMP-intermediate	27	NFE2L1	non_specific	674	0.663648	12.93
TCGASubtype	ACC.CIMP-intermediate	27	JUND	non_specific	314	0.661388	12.6
TCGASubtype	ACC.CIMP-intermediate	27	ATF4	non_specific	694	0.663783	12.56
TCGASubtype	ACC.CIMP-intermediate	27	HIF1A	non_specific	455	0.662535	12.4
TCGASubtype	ACC.CIMP-intermediate	27	NME2	non_specific	858	0.664604	12.36
TCGASubtype	ACC.CIMP-intermediate	27	STAT6	non_specific	485	0.662668	12.24
TCGASubtype	ACC.CIMP-intermediate	27	SREBF2	non_specific	542	0.66304	12.16
TCGASubtype	ACC.CIMP-intermediate	27	PA2G4	non_specific	595	0.66329	12.08
TCGASubtype	ACC.CIMP-intermediate	27	YBX1	non_specific	1000	0.66542	12.06
TCGASubtype	ACC.CIMP-intermediate	27	SREBF1	non_specific	414	0.662303	12.01
