division	group	group_size	tf	category	jsd_rank	cacts_score	group_expr_log2tpm	fdr_log10
TCGA_type	ACC	76	NR5A1	specific	1	0.237735	7.1	-62.308
TCGA_type	ACC	76	NR0B1	specific	2	0.317946	4.97	-39.278
TCGA_type	ACC	76	NFE4	specific	3	0.371205	2.17	-26.836
TCGA_type	ACC	76	ALX4	specific	7	0.471252	1.28	-9.675
TCGA_type	ACC	76	PEG3	specific	8	0.489347	5.34	-7.418
TCGA_type	ACC	76	NR1H4	specific	11	0.494842	3.83	-6.904
TCGA_type	ACC	76	MYT1	specific	12	0.5207	2.21	-4.211
TCGA_type	ACC	76	EVX1	specific	15	0.534904	1.15	-3.035
TCGA_type	ACC	76	TBX3	specific	20	0.548931	6.89	-2.037
TCGA_type	ACC	76	FOXL2	specific	21	0.549697	1.1	-2.002
TCGA_type	ACC	76	ZNF536	specific	24	0.55851	1.07	-1.444
TCGA_type	ACC	76	ESR2	specific	25	0.564409	1.07	-1.082
TCGA_type	ACC	76	ZNF275	specific	27	0.566099	6.26	-1.012
TCGA_type	ACC	76	ATF4	non_specific	422	0.626684	7.71	-0.028
TCGA_type	ACC	76	TSC22D3	non_specific	117	0.611008	7.57	-0.028
TCGA_type	ACC	76	YBX1	non_specific	704	0.632017	7.56	-0.028
TCGA_type	ACC	76	JUND	non_specific	234	0.620602	7.22	-0.028
TCGA_type	ACC	76	HMGN3	non_specific	198	0.61898	7.17	-0.028
TCGA_type	ACC	76	DRAP1	non_specific	345	0.624584	7.01	-0.028
TCGA_type	ACC	76	USF2	non_specific	363	0.624911	6.88	-0.028
TCGA_type	ACC	76	MAZ	non_specific	600	0.62981	6.79	-0.028
TCGA_type	ACC	76	YBX3	non_specific	526	0.62861	6.78	-0.028
TCGA_type	ACC	76	DBP	non_specific	71	0.599063	6.67	-0.028
TCGA_type	ACC	76	DDIT3	non_specific	125	0.612354	6.57	-0.028
TCGA_type	ACC	76	NFE2L1	non_specific	353	0.6248	6.42	-0.028
TCGA_type	ACC	76	SLC2A4RG	non_specific	217	0.619683	6.39	-0.028
TCGA_type	ACC	76	ID2	non_specific	235	0.620659	6.33	-0.028
TCGA_type	ACC	76	ZNF706	non_specific	533	0.628691	6.3	-0.028
TCGA_type	ACC	76	PA2G4	non_specific	461	0.627493	6.3	-0.028
TCGA_type	ACC	76	GLMP	non_specific	283	0.622474	6.25	-0.028
TCGA_type	ACC	76	NR1H2	non_specific	219	0.619762	6.23	-0.028
TCGA_type	ACC	76	RBCK1	non_specific	398	0.625906	6.12	-0.028
TCGA_type	ACC	76	CAMTA1	non_specific	323	0.624002	6.12	-0.028
TCGA_type	ACC	76	PIN1	non_specific	309	0.623367	6.1	-0.028
TCGA_type	ACC	76	PHF1	non_specific	225	0.620243	6.09	-0.028
TCGA_type	ACC	76	JUNB	non_specific	547	0.628958	6.09	-0.028
TCGA_type	ACC	76	STAT6	non_specific	344	0.624551	6.04	-0.028
TCGA_type	ACC	76	SREBF1	non_specific	310	0.623415	5.95	-0.028
TCGA_type	ACC	76	TSC22D4	non_specific	256	0.62165	5.94	-0.028
TCGA_type	ACC	76	HIF1A	non_specific	254	0.621549	5.94	-0.028
TCGA_type	ACC	76	MBD3	non_specific	268	0.62196	5.91	-0.028
TCGA_type	ACC	76	AKAP8L	non_specific	191	0.618456	5.89	-0.028
TCGA_type	ACC	76	NR4A1	non_specific	173	0.617072	5.85	-0.028
TCGA_type	ACC	76	HSF1	non_specific	445	0.627222	5.83	-0.028
TCGA_type	ACC	76	ATF5	non_specific	176	0.61717	5.82	-0.028
TCGA_type	ACC	76	SON	non_specific	495	0.627953	5.81	-0.028
TCGA_type	ACC	76	GPBP1	non_specific	257	0.621722	5.68	-0.028
TCGA_type	ACC	76	CEBPB	non_specific	188	0.618314	5.67	-0.028
