gene	Additional New Primary	Metastatic	Primary Blood-Derived Cancer	Primary Solid Tumor	Recurrent Solid Tumor	Solid Tissue Normal
ADNP	0.4534	0.4491	0.435	0.458	0.46	0.4689
ADNP2	0.4656	0.4583	0.4067	0.4629	0.4695	0.4644
AEBP1	0.4608	0.3932	0.5333	0.4432	0.4554	0.4512
AEBP2	0.4476	0.4582	0.4371	0.4566	0.4708	0.4541
AFF3	0.5402	0.4389	0.3261	0.5011	0.4993	0.4572
AHCTF1	0.4596	0.4488	0.4248	0.4557	0.4697	0.4667
AHDC1	0.4514	0.4695	0.4293	0.4602	0.4488	0.4657
AHR	0.5252	0.436	0.397	0.4522	0.4859	0.4405
AHRR	0.5476	0.3501	0.4858	0.4399	0.4537	0.4756
AIRE	0.144	0.6086	0.5426	0.5591	0.489	0.6315
AKAP8	0.4491	0.4575	0.4254	0.4604	0.4634	0.4694
AKAP8L	0.4394	0.4621	0.4314	0.46	0.454	0.4784
AKNA	0.4438	0.4719	0.3749	0.4786	0.4841	0.4826
ALX1	0.5502	0.1042	0.6841	0.5576	0.6071	0.5616
ALX3	0.6628	0.442	0.5662	0.383	0.244	0.6012
ALX4	0.2433	0.5542	0.5264	0.5472	0.4694	0.4825
ANHX	0.0235	0.675	0.6857	0.6351	0.6202	0.6902
ANKZF1	0.4378	0.4656	0.4274	0.457	0.4548	0.4836
AR	0.5389	0.5921	0.4884	0.4083	0.4124	0.3425
ARGFX	0.0397	0.6799	0.6254	0.5737	0.6696	0.6779
ARHGAP35	0.474	0.4542	0.4339	0.4575	0.4568	0.4482
ARID1A	0.4756	0.4577	0.3978	0.4642	0.4666	0.4672
ARID1B	0.4766	0.4595	0.393	0.4665	0.4758	0.4589
ARID2	0.4685	0.4798	0.3709	0.4657	0.4741	0.4768
ARID3A	0.4496	0.4749	0.3259	0.4864	0.4979	0.5233
ARID3B	0.401	0.4869	0.3745	0.4802	0.5072	0.4949
ARID3C	0.5661	0.5186	0.5688	0.4564	0.2824	0.4158
ARID5A	0.4505	0.4523	0.445	0.4647	0.4552	0.4561
ARID5B	0.468	0.4368	0.4784	0.453	0.4614	0.4284
ARNT	0.4716	0.4527	0.4087	0.4649	0.4743	0.4553
ARNT2	0.5213	0.3481	0.6649	0.4592	0.3645	0.4573
ARNTL	0.4882	0.4797	0.426	0.4495	0.4326	0.4517
ARNTL2	0.4414	0.5056	0.4324	0.4158	0.4503	0.4857
ARX	0.4665	0.5098	0.6662	0.423	0.2758	0.4964
ASCL1	0.5015	0.595	0.6832	0.4572	0.1597	0.5839
ASCL2	0.4634	0.5131	0.3764	0.4187	0.49	0.4795
ASCL3	0.6633	0.6245	0.132	0.5567	0.5758	0.4658
ASCL4	0.5863	0.3379	0.4953	0.3647	0.5794	0.4367
ASCL5	0.5959	0.5492	0.579	0.331	0.3076	0.4728
ASH1L	0.4884	0.4702	0.3719	0.471	0.4699	0.4644
ATF1	0.4891	0.4548	0.4272	0.45	0.4613	0.444
ATF2	0.4679	0.463	0.4177	0.4613	0.4568	0.4591
ATF3	0.4837	0.4886	0.4863	0.4406	0.4515	0.384
ATF4	0.458	0.4496	0.4526	0.4528	0.4553	0.4553
ATF5	0.4443	0.4404	0.4979	0.4428	0.4494	0.452
ATF6	0.4799	0.4483	0.4264	0.4574	0.4593	0.4542
ATF6B	0.4854	0.4441	0.4226	0.454	0.4573	0.4631
ATF7	0.4797	0.4581	0.4106	0.4587	0.4634	0.4567
ATMIN	0.4427	0.4543	0.4553	0.4566	0.4579	0.4569
ATOH1	0.6684	0.6563	0.688	0.3278	0.56	0.172
ATOH7	0.3852	0.5413	0.6108	0.4489	0.3126	0.5061
ATOH8	0.4814	0.42	0.645	0.4603	0.4102	0.3697
BACH1	0.4623	0.4531	0.4062	0.4686	0.4752	0.4622
BACH2	0.4625	0.4694	0.3625	0.5057	0.4706	0.4692
BARHL1	0.6554	0.6313	0.4165	0.5101	0.153	0.652
BARHL2	0.5817	0.1537	0.6833	0.4874	0.4473	0.6618
BARX1	0.2419	0.5668	0.6763	0.4081	0.4716	0.517
BARX2	0.4809	0.5553	0.6791	0.3276	0.5165	0.3057
BATF	0.4401	0.426	0.4077	0.4527	0.5201	0.4886
BATF2	0.4707	0.382	0.5781	0.4372	0.4404	0.4436
BATF3	0.3845	0.4406	0.5632	0.4582	0.4193	0.4832
BAZ2A	0.4602	0.4563	0.3957	0.4654	0.4825	0.4699
BAZ2B	0.4906	0.4785	0.3668	0.4734	0.4714	0.4571
BBX	0.4717	0.455	0.424	0.462	0.461	0.4516
BCL11A	0.4986	0.5376	0.3118	0.468	0.4629	0.4876
BCL11B	0.4405	0.4828	0.3816	0.4433	0.5103	0.4788
BCL6	0.5122	0.473	0.4391	0.448	0.4183	0.4402
BCL6B	0.377	0.4723	0.609	0.4414	0.459	0.4082
BCLAF1	0.4588	0.4623	0.4171	0.4607	0.4686	0.4584
BHLHA15	0.4842	0.4751	0.4526	0.4056	0.5069	0.4106
BHLHA9	0.1963	0.6042	0.6613	0.5275	0.3777	0.5812
BHLHE22	0.4674	0.3994	0.6263	0.4546	0.3968	0.4277
BHLHE23	0.326	0.6819	0.2488	0.6018	0.4441	0.6616
BHLHE40	0.4724	0.4351	0.4904	0.4357	0.4634	0.4306
BHLHE41	0.4614	0.4131	0.5735	0.4386	0.416	0.4445
BNC1	0.1989	0.564	0.6824	0.4035	0.5897	0.5007
BNC2	0.374	0.3539	0.6274	0.4904	0.4976	0.447
BPTF	0.4606	0.4629	0.3998	0.4662	0.4667	0.4723
BRF2	0.4276	0.4405	0.4881	0.4519	0.4554	0.4629
BSX	0.6931	0.2815	0.6146	0.212	0.6931	0.5664
C11ORF95	0.411	0.4673	0.4662	0.4696	0.4446	0.4685
CAMTA1	0.4515	0.45	0.4779	0.4504	0.4426	0.4521
CAMTA2	0.4588	0.4496	0.4406	0.4587	0.4548	0.4615
CARF	0.4982	0.5097	0.3385	0.4846	0.4667	0.4531
CASZ1	0.4986	0.5152	0.4434	0.4129	0.4861	0.3853
CBFB	0.4769	0.442	0.4213	0.4567	0.4548	0.4747
CBX2	0.4007	0.4433	0.4087	0.4765	0.4505	0.5687
CC2D1A	0.4599	0.4396	0.465	0.4483	0.4488	0.4626
CCDC169-SOHLH2	0.614	0.5124	0.2639	0.5256	0.4518	0.4542
CCDC17	0.5153	0.5699	0.2379	0.5103	0.5275	0.467
CDC5L	0.4486	0.4457	0.4453	0.4598	0.4578	0.4668
CDX1	0.1882	0.5821	0.69	0.4689	0.5301	0.4781
CDX2	0.65	0.6267	0.4922	0.3245	0.4333	0.3336
CDX4	0.6931	0.5685	0.6312	0.2506	0.5693	0.2734
CEBPA	0.477	0.5161	0.3705	0.4609	0.4667	0.4482
CEBPB	0.4865	0.4472	0.4695	0.4372	0.4442	0.4414
CEBPD	0.466	0.4941	0.4608	0.44	0.4428	0.4238
CEBPE	0.5046	0.6024	0.1151	0.598	0.6004	0.6056
CEBPG	0.4469	0.4785	0.4493	0.448	0.4447	0.4573
CEBPZ	0.4348	0.456	0.4602	0.4536	0.4573	0.4622
CENPA	0.396	0.4128	0.4555	0.4556	0.4465	0.5875
CENPB	0.462	0.4395	0.4848	0.4475	0.4352	0.4567
CENPBD1	0.4696	0.4329	0.4467	0.4605	0.4522	0.4628
CENPT	0.442	0.4623	0.4294	0.4628	0.4497	0.4795
CERS3	0.5231	0.5228	0.5344	0.2793	0.5862	0.3754
CGGBP1	0.4647	0.4505	0.4238	0.4667	0.4582	0.4613
CHAMP1	0.4807	0.4368	0.4103	0.469	0.4602	0.4713
CHCHD3	0.4589	0.4349	0.4618	0.4558	0.4507	0.4621
CIC	0.4534	0.444	0.4443	0.4569	0.4567	0.4688
CLOCK	0.461	0.4607	0.4286	0.4553	0.4671	0.452
CPEB1	0.2885	0.3992	0.642	0.5355	0.4457	0.5171
CPXCR1	0.6931	0.5094	0.5911	0.3091	0.3749	0.3955
CREB1	0.4733	0.4632	0.3932	0.4669	0.4683	0.465
CREB3	0.4585	0.4477	0.5008	0.4404	0.4352	0.4448
CREB3L1	0.5219	0.4765	0.6294	0.3647	0.4314	0.3688
CREB3L2	0.4743	0.4341	0.4264	0.4592	0.4855	0.4475
CREB3L3	0.4396	0.6294	0.5044	0.426	0.4597	0.3311
