sample	ACC.CIMP-high	ACC.CIMP-intermediate	ACC.CIMP-low	AML.1	AML.2	AML.3	AML.4	AML.5	AML.6	AML.7	BLCA.1	BLCA.2	BLCA.3	BLCA.4	BRCA.Basal	BRCA.Her2	BRCA.LumA	BRCA.LumB	BRCA.Normal	GBM_LGG.Classic-like	GBM_LGG.Codel	GBM_LGG.G-CIMP-high	GBM_LGG.G-CIMP-low	GBM_LGG.LGm6-GBM	GBM_LGG.Mesenchymal-like	GBM_LGG.NA	GBM_LGG.PA-like	GI.CIN	GI.EBV	GI.ESCC	GI.GS	GI.HM-SNV	GI.HM-indel	HNSC.Atypical	HNSC.Basal	HNSC.Classical	HNSC.Mesenchymal	KICH.Eosin.0	KICH.Eosin.1	KIRC.1	KIRC.2	KIRC.3	KIRC.4	KIRC.NA	KIRP.C1	KIRP.C2a	KIRP.C2b	KIRP.C2c - CIMP	LIHC.NA	LIHC.iCluster:1	LIHC.iCluster:2	LIHC.iCluster:3	LUAD.1	LUAD.2	LUAD.3	LUAD.4	LUAD.5	LUAD.6	LUSC.basal	LUSC.classical	LUSC.primitive	LUSC.secretory	OVCA.Differentiated	OVCA.Immunoreactive	OVCA.Mesenchymal	OVCA.Proliferative	PCPG.Cortical admixture	PCPG.Kinase signaling	PCPG.NA	PCPG.Pseudohypoxia	PCPG.Wnt-altered	PRAD.1-ERG	PRAD.2-ETV1	PRAD.3-ETV4	PRAD.5-SPOP	PRAD.6-FOXA1	PRAD.8-other	SKCM.-	SKCM.BRAF_Hotspot_Mutants	SKCM.NF1_Any_Mutants	SKCM.RAS_Hotspot_Mutants	SKCM.Triple_WT	THCA.1	THCA.2	THCA.3	THCA.4	THCA.5	THCA.NA	UCEC.CN_HIGH	UCEC.CN_LOW	UCEC.MSI	UCEC.NA	UCEC.POLE	UCS.1	UCS.2
ADNP2	0.6645	0.6651	0.6656	0.6624	0.662	0.6626	0.6624	0.6631	0.6623	0.6626	0.6633	0.6639	0.6632	0.6638	0.6634	0.6634	0.6633	0.6631	0.6635	0.6634	0.6645	0.6637	0.663	0.6634	0.6638	0.6636	0.6639	0.6641	0.6641	0.6625	0.6635	0.663	0.6626	0.662	0.6633	0.6628	0.6631	0.6627	0.6629	0.6634	0.6642	0.6642	0.6649	0.6645	0.6644	0.6648	0.6646	0.6648	0.6664	0.6653	0.6664	0.6658	0.6647	0.6633	0.6639	0.6638	0.6642	0.6639	0.663	0.6626	0.6623	0.6626	0.6646	0.6647	0.6643	0.6644	0.6655	0.6646	0.6643	0.6642	0.665	0.6635	0.6636	0.6637	0.6636	0.6639	0.664	0.6637	0.6643	0.6639	0.6636	0.6636	0.6648	0.6648	0.6643	0.6649	0.6651	0.6658	0.6645	0.6643	0.664	0.664	0.6633	0.6651	0.6644
ADNP	0.6646	0.6642	0.6649	0.6637	0.6629	0.663	0.6625	0.6634	0.6626	0.6631	0.6631	0.6633	0.6637	0.6636	0.663	0.6626	0.6628	0.6621	0.6634	0.6637	0.6641	0.6639	0.6633	0.6637	0.6641	0.664	0.6641	0.6631	0.663	0.6628	0.664	0.6639	0.6642	0.6633	0.6641	0.6636	0.6638	0.664	0.6641	0.664	0.6646	0.6641	0.6649	0.6654	0.6648	0.6656	0.6647	0.6646	0.6661	0.6657	0.6664	0.6658	0.6642	0.6633	0.6642	0.6645	0.6643	0.6645	0.6634	0.6637	0.6626	0.6635	0.663	0.6633	0.6627	0.6621	0.6655	0.6645	0.6654	0.6646	0.6648	0.6632	0.6634	0.6633	0.6638	0.6637	0.6637	0.6636	0.6636	0.6636	0.6631	0.6633	0.6646	0.6641	0.6638	0.6644	0.6643	0.6653	0.6636	0.6643	0.6646	0.6641	0.6643	0.6627	0.6631
AEBP1	0.6705	0.6695	0.6685	0.6717	0.6698	0.6679	0.6695	0.6727	0.6695	0.6751	0.6692	0.6613	0.6632	0.6614	0.6615	0.6596	0.6597	0.6607	0.6612	0.6615	0.6674	0.6678	0.6658	0.6624	0.6605	0.6617	0.6643	0.6636	0.6636	0.6628	0.6629	0.6639	0.6635	0.6637	0.6632	0.6617	0.6593	0.6688	0.6691	0.6628	0.6613	0.6598	0.6625	0.6614	0.664	0.6646	0.6659	0.6623	0.6678	0.6649	0.6679	0.6703	0.664	0.6623	0.6624	0.6625	0.6611	0.6614	0.6623	0.6637	0.6635	0.6608	0.6643	0.6639	0.6591	0.6642	0.6621	0.6651	0.6641	0.6638	0.6663	0.6629	0.6626	0.6625	0.6631	0.6626	0.6627	0.6581	0.6578	0.659	0.6588	0.6592	0.6667	0.6638	0.6664	0.663	0.6642	0.6627	0.6645	0.6647	0.6648	0.6636	0.6646	0.6618	0.6618
AEBP2	0.663	0.6617	0.6618	0.6648	0.6647	0.6639	0.6633	0.6643	0.6641	0.6642	0.6633	0.6633	0.6629	0.6639	0.6639	0.6653	0.6646	0.6646	0.6637	0.6651	0.6655	0.6651	0.6651	0.6648	0.6648	0.6652	0.6652	0.664	0.6627	0.6611	0.6641	0.664	0.6639	0.6619	0.6629	0.6616	0.6634	0.6635	0.6632	0.663	0.6635	0.6632	0.6637	0.6642	0.6638	0.6643	0.6633	0.6635	0.667	0.6661	0.6672	0.6672	0.6635	0.6633	0.6636	0.6635	0.6639	0.6636	0.6627	0.6618	0.6625	0.663	0.6632	0.6633	0.6628	0.6624	0.6643	0.6645	0.6652	0.6643	0.6646	0.6639	0.664	0.6639	0.6644	0.6643	0.664	0.6649	0.6648	0.6651	0.6647	0.6649	0.663	0.6626	0.6624	0.6628	0.6625	0.664	0.6643	0.6645	0.6645	0.6642	0.6644	0.6631	0.664
AFF3	0.66	0.6646	0.6683	0.6586	0.6578	0.6616	0.6611	0.6572	0.6538	0.6571	0.677	0.672	0.6799	0.6699	0.6667	0.6615	0.6504	0.6506	0.6533	0.6611	0.6546	0.6562	0.6585	0.6581	0.6599	0.6598	0.6571	0.6732	0.6724	0.6743	0.6688	0.674	0.6756	0.6711	0.6783	0.6754	0.6719	0.6775	0.6747	0.6568	0.6589	0.6607	0.6603	0.6598	0.6636	0.6645	0.6628	0.6611	0.6613	0.6609	0.6625	0.6644	0.661	0.6677	0.6707	0.6655	0.6653	0.6684	0.6722	0.6726	0.6704	0.6674	0.6707	0.6728	0.67	0.6694	0.6614	0.6585	0.6647	0.6627	0.6631	0.6551	0.6556	0.6554	0.6496	0.6517	0.6498	0.6596	0.6603	0.659	0.6594	0.6574	0.6756	0.6694	0.6725	0.6706	0.6723	0.6712	0.6668	0.6616	0.6659	0.6633	0.6639	0.6584	0.6619
AHCTF1	0.6636	0.6625	0.6636	0.6638	0.6628	0.6633	0.6628	0.6635	0.6629	0.6634	0.6631	0.6635	0.663	0.6635	0.6618	0.6625	0.6628	0.662	0.6633	0.665	0.6641	0.6639	0.6646	0.6647	0.6648	0.6655	0.6648	0.6635	0.6635	0.6617	0.6642	0.6634	0.6636	0.6635	0.6637	0.6628	0.6639	0.6655	0.6648	0.6637	0.664	0.6638	0.6644	0.6651	0.6658	0.666	0.6642	0.6636	0.6639	0.664	0.664	0.6636	0.664	0.6636	0.6636	0.6639	0.6643	0.664	0.6641	0.663	0.6632	0.6639	0.6647	0.6645	0.6645	0.6641	0.6646	0.6635	0.6637	0.6642	0.6643	0.6641	0.6642	0.6639	0.6647	0.6644	0.6645	0.6648	0.6639	0.6637	0.6634	0.664	0.6641	0.6641	0.6639	0.6643	0.6643	0.6653	0.6638	0.6642	0.664	0.6637	0.664	0.6636	0.6636
AHDC1	0.6609	0.6612	0.6616	0.6631	0.6632	0.6619	0.6635	0.6659	0.6623	0.6665	0.6649	0.6651	0.6645	0.6655	0.664	0.6646	0.6645	0.6657	0.6633	0.6624	0.6631	0.6617	0.6631	0.6632	0.6621	0.663	0.6619	0.6663	0.6662	0.6622	0.6651	0.6661	0.6662	0.6615	0.6627	0.6619	0.663	0.666	0.6664	0.6643	0.6636	0.6643	0.6648	0.6639	0.664	0.6652	0.6648	0.6652	0.6672	0.6664	0.6677	0.6672	0.6645	0.6654	0.6635	0.6648	0.6635	0.6652	0.664	0.6641	0.6647	0.6644	0.6622	0.6627	0.6619	0.662	0.6626	0.663	0.6624	0.6617	0.663	0.6659	0.6663	0.6661	0.6662	0.6662	0.6658	0.6639	0.6646	0.665	0.6647	0.6643	0.6621	0.6618	0.6619	0.662	0.6615	0.662	0.6626	0.6636	0.6638	0.6626	0.6636	0.661	0.6628
AHR	0.6673	0.6645	0.6642	0.6632	0.6645	0.6676	0.6639	0.6612	0.6628	0.6618	0.6588	0.6601	0.6609	0.663	0.6641	0.6644	0.6636	0.6644	0.6618	0.6679	0.6712	0.6698	0.6678	0.6664	0.6667	0.6666	0.6681	0.6625	0.6605	0.6604	0.6625	0.662	0.6618	0.662	0.6618	0.6609	0.6609	0.6655	0.6667	0.6625	0.6633	0.6625	0.6633	0.6636	0.6612	0.665	0.6652	0.6642	0.6639	0.6642	0.6633	0.6635	0.6621	0.6624	0.6594	0.6606	0.6598	0.6604	0.6605	0.6609	0.6625	0.661	0.6633	0.6634	0.6633	0.6651	0.6675	0.67	0.6683	0.6676	0.6707	0.6668	0.6674	0.6662	0.6661	0.6654	0.6665	0.6636	0.6626	0.6635	0.6635	0.6638	0.6652	0.6617	0.6609	0.6612	0.6621	0.6628	0.6649	0.6635	0.6645	0.6638	0.6639	0.6683	0.6656
AHRR	0.6565	0.6531	0.6547	0.6684	0.6679	0.663	0.668	0.6693	0.6707	0.6676	0.6636	0.665	0.6667	0.663	0.6635	0.664	0.664	0.6639	0.6657	0.6616	0.6632	0.6623	0.6629	0.6612	0.6616	0.6617	0.6593	0.6644	0.6603	0.6603	0.6655	0.6631	0.6648	0.6573	0.6604	0.6589	0.6608	0.6657	0.6684	0.6622	0.6595	0.6589	0.6623	0.6601	0.6686	0.6688	0.6674	0.6559	0.6755	0.6707	0.6705	0.6696	0.6696	0.6615	0.664	0.6698	0.665	0.6666	0.6624	0.6619	0.6574	0.6624	0.663	0.6644	0.6609	0.6624	0.6687	0.6679	0.6673	0.6651	0.6658	0.6681	0.6663	0.6658	0.6651	0.6663	0.6679	0.6544	0.6596	0.6574	0.6598	0.6588	0.6673	0.6668	0.6672	0.668	0.6653	0.6661	0.6642	0.6665	0.6674	0.665	0.6649	0.6585	0.6616
AIRE	0.6832	0.6661	0.6796	0.6665	0.6533	0.6931	0.6781	0.6686	0.6397	0.672	0.6747	0.6708	0.6856	0.6779	0.6763	0.6845	0.6804	0.6831	0.6791	0.614	0.6067	0.6091	0.6213	0.6062	0.6041	0.6034	0.6132	0.6506	0.6778	0.6868	0.66	0.6662	0.6818	0.6551	0.6764	0.6719	0.6617	0.6887	0.6903	0.6695	0.6516	0.6567	0.6665	0.6755	0.656	0.6635	0.6633	0.6931	0.6723	0.654	0.6832	0.6817	0.6739	0.6631	0.6818	0.6781	0.6749	0.6726	0.6688	0.6783	0.6588	0.6538	0.6815	0.6883	0.679	0.667	0.6601	0.6662	0.6635	0.6437	0.6275	0.6772	0.6768	0.6747	0.6757	0.6788	0.6733	0.6757	0.6688	0.6722	0.6786	0.6616	0.6794	0.6731	0.6819	0.6781	0.6771	0.6645	0.6674	0.6729	0.6866	0.6651	0.6859	0.627	0.6551
