cancer	group	group_size	tf	category	jsd_rank	cacts_score	group_expr_log2tpm	fdr_log10	top5e
BLCA	Stage I	16	TFAP2E	specific	36	0.309253	1.15	-1.541	0
BLCA	Stage I	16	YBX1	non_specific	648	0.377789	9.12	-0.038	1
BLCA	Stage I	16	ID1	non_specific	237	0.367457	8.25	-0.038	1
BLCA	Stage I	16	YBX3	non_specific	516	0.375676	8.16	-0.038	1
BLCA	Stage I	16	ATF4	non_specific	721	0.378903	8.11	-0.038	1
BLCA	Stage I	16	ELF3	non_specific	799	0.380113	8.09	-0.038	1
BLCA	Stage I	16	HMGA1	non_specific	483	0.374991	7.89	-0.038	1
BLCA	Stage I	16	MAZ	non_specific	548	0.376279	7.78	-0.038	1
BLCA	Stage I	16	JUNB	non_specific	808	0.380287	7.6	-0.038	1
BLCA	Stage I	16	ZNF706	non_specific	452	0.374283	7.56	-0.038	1
BLCA	Stage I	16	DRAP1	non_specific	826	0.38062	7.25	-0.038	1
BLCA	Stage I	16	USF2	non_specific	653	0.377866	6.97	-0.038	1
BLCA	Stage I	16	PA2G4	non_specific	749	0.379379	6.87	-0.038	1
BLCA	Stage I	16	IRF3	non_specific	567	0.376568	6.79	-0.038	1
BLCA	Stage I	16	KLF5	non_specific	405	0.373273	6.69	-0.038	1
BLCA	Stage I	16	BHLHE40	non_specific	367	0.372238	6.69	-0.038	1
BLCA	Stage I	16	RBCK1	non_specific	649	0.377798	6.67	-0.038	1
BLCA	Stage I	16	GTF3A	non_specific	742	0.379287	6.67	-0.038	1
BLCA	Stage I	16	FOS	non_specific	1128	0.388431	6.65	-0.03	1
BLCA	Stage I	16	TGIF1	non_specific	693	0.378455	6.61	-0.038	1
BLCA	Stage I	16	XBP1	non_specific	883	0.381731	6.52	-0.038	1
BLCA	Stage I	16	HES1	non_specific	537	0.376042	6.51	-0.038	1
BLCA	Stage I	16	JUND	non_specific	676	0.378219	6.49	-0.038	1
BLCA	Stage I	16	GATA3	non_specific	168	0.362281	6.44	-0.038	1
BLCA	Stage I	16	ZNF207	non_specific	635	0.377585	6.43	-0.038	1
BLCA	Stage I	16	IRF9	non_specific	695	0.378467	6.26	-0.038	1
BLCA	Stage I	16	PPARG	non_specific	151	0.360581	6.25	-0.038	1
BLCA	Stage I	16	SLC2A4RG	non_specific	398	0.373068	6.24	-0.038	1
BLCA	Stage I	16	HSF1	non_specific	773	0.379729	6.23	-0.038	1
BLCA	Stage I	16	GLMP	non_specific	728	0.37906	6.2	-0.038	1
BLCA	Stage I	16	SON	non_specific	791	0.380006	6.16	-0.038	1
BLCA	Stage I	16	CAMTA1	non_specific	726	0.379033	6.15	-0.038	1
BLCA	Stage I	16	MBD2	non_specific	835	0.380812	6.14	-0.038	1
BLCA	Stage I	16	STAT6	non_specific	775	0.379755	6.14	-0.038	1
BLCA	Stage I	16	ID3	non_specific	766	0.379621	6.13	-0.038	1
BLCA	Stage I	16	HMG20B	non_specific	666	0.378029	6.13	-0.038	1
BLCA	Stage I	16	ATF6B	non_specific	659	0.377952	6.13	-0.038	1
BLCA	Stage I	16	EPAS1	non_specific	365	0.372189	6.11	-0.038	1
BLCA	Stage I	16	NFE2L1	non_specific	704	0.378585	6.11	-0.038	1
BLCA	Stage I	16	HMGN3	non_specific	803	0.380192	6.08	-0.038	1
BLCA	Stage I	16	TCF3	non_specific	539	0.376066	6.06	-0.038	1
BLCA	Stage I	16	USF1	non_specific	579	0.376744	6.05	-0.038	1
BLCA	Stage I	16	NFE2L2	non_specific	546	0.376211	6.03	-0.038	1
BLCA	Stage I	16	STAT1	non_specific	787	0.379927	5.9	-0.038	1
BLCA	Stage I	16	SAFB	non_specific	576	0.376734	5.89	-0.038	1
BLCA	Stage I	16	SREBF1	non_specific	1093	0.386736	5.88	-0.037	1
BLCA	Stage I	16	PLSCR1	non_specific	707	0.378636	5.84	-0.038	1
BLCA	Stage I	16	GPBP1L1	non_specific	603	0.377065	5.83	-0.038	1
BLCA	Stage I	16	NR1H2	non_specific	772	0.379694	5.82	-0.038	1
BLCA	Stage I	16	GTF2I	non_specific	427	0.373747	5.81	-0.038	1
BLCA	Stage I	16	JUN	non_specific	798	0.380099	5.81	-0.038	1
BLCA	Stage I	16	ETS2	non_specific	756	0.379445	5.8	-0.038	1
BLCA	Stage I	16	MBD3	non_specific	705	0.378609	5.78	-0.038	1
BLCA	Stage I	16	PIN1	non_specific	914	0.382424	5.77	-0.038	1
BLCA	Stage I	16	TFDP1	non_specific	811	0.380297	5.77	-0.038	1
BLCA	Stage I	16	CXXC1	non_specific	824	0.380572	5.76	-0.038	1
BLCA	Stage I	16	TSC22D4	non_specific	419	0.373519	5.73	-0.038	1
BLCA	Stage I	16	RELA	non_specific	600	0.377063	5.7	-0.038	1
BLCA	Stage I	16	E2F4	non_specific	671	0.378101	5.69	-0.038	1
BLCA	Stage I	16	PREB	non_specific	755	0.379423	5.68	-0.038	1
BLCA	Stage I	16	STAT2	non_specific	856	0.381266	5.67	-0.038	1
BLCA	Stage I	16	HIF1A	non_specific	661	0.377966	5.66	-0.038	1
BLCA	Stage I	16	MYBL2	non_specific	178	0.363515	5.64	-0.038	1
BLCA	Stage I	16	PCGF2	non_specific	559	0.37643	5.63	-0.038	1
BLCA	Stage I	16	THAP4	non_specific	958	0.383275	5.59	-0.038	1
BLCA	Stage I	16	NR2F6	non_specific	493	0.375174	5.57	-0.038	1
BLCA	Stage I	16	UBTF	non_specific	594	0.376945	5.57	-0.038	1
BLCA	Stage I	16	CEBPB	non_specific	715	0.378841	5.56	-0.038	1
BLCA	Stage I	16	PHF1	non_specific	650	0.377811	5.53	-0.038	1
BLCA	Stage I	16	FOSL2	non_specific	837	0.380834	5.52	-0.038	1
BLCA	Stage I	16	TSC22D1	non_specific	1090	0.386584	5.52	-0.037	1
BLCA	Stage I	16	THYN1	non_specific	917	0.382458	5.52	-0.038	1
BLCA	Stage I	16	AKAP8L	non_specific	607	0.377124	5.47	-0.038	1
BLCA	Stage I	16	CEBPD	non_specific	392	0.372946	5.46	-0.038	1
BLCA	Stage I	16	KLF6	non_specific	643	0.377683	5.44	-0.038	1
BLCA	Stage I	16	RARG	non_specific	495	0.37522	5.43	-0.038	1
BLCA	Stage I	16	CC2D1A	non_specific	410	0.373363	5.43	-0.038	1
BLCA	Stage I	16	ZNF146	non_specific	455	0.374354	5.4	-0.038	1
BLCA	Stage I	16	DNMT1	non_specific	406	0.373297	5.4	-0.038	1
BLCA	Stage I	16	MYC	non_specific	358	0.37195	5.39	-0.038	1
BLCA	Stage I	16	ZNF385A	non_specific	1069	0.385976	5.39	-0.038	1
BLCA	Stage I	16	YY1	non_specific	423	0.373693	5.38	-0.038	1
BLCA	Stage I	16	ZNF692	non_specific	328	0.371079	5.38	-0.038	1
BLCA	Stage I	16	AHR	non_specific	207	0.36575	5.38	-0.038	1
BLCA	Stage II	139	EVX1	specific	60	0.327714	1.69	-6.936	0
BLCA	Stage II	139	RORC	specific	70	0.334382	1.71	-5.232	0
BLCA	Stage II	139	EMX2	specific	75	0.33691	1.77	-4.65	0
BLCA	Stage II	139	TBX6	specific	84	0.340389	2.76	-3.909	0
BLCA	Stage II	139	TOX3	specific	86	0.341707	2.34	-3.635	0
BLCA	Stage II	139	ATOH8	specific	89	0.342832	2.64	-3.415	0
BLCA	Stage II	139	KLF15	specific	92	0.343469	1.47	-3.299	0
BLCA	Stage II	139	NKX6-2	specific	95	0.345321	1.0	-2.946	0
BLCA	Stage II	139	ZNF177	specific	101	0.349468	1.45	-2.212	0
BLCA	Stage II	139	ZNF559-ZNF177	specific	107	0.351574	1.02	-1.883	0
BLCA	Stage II	139	SOX15	specific	111	0.352351	3.33	-1.774	0
BLCA	Stage II	139	HOXB5	specific	112	0.352376	2.13	-1.774	0
BLCA	Stage II	139	ZNF888	specific	114	0.352755	1.14	-1.722	0
BLCA	Stage II	139	ZNF662	specific	115	0.352813	1.76	-1.717	0
BLCA	Stage II	139	HOXB8	specific	116	0.352844	2.18	-1.716	0
BLCA	Stage II	139	POU3F1	specific	117	0.352898	1.27	-1.711	0
BLCA	Stage II	139	TBX1	specific	118	0.352988	3.29	-1.7	0
BLCA	Stage II	139	ZNF737	specific	121	0.353755	2.83	-1.593	0
BLCA	Stage II	139	ZNF582	specific	122	0.353825	1.4	-1.586	0
BLCA	Stage II	139	FOXH1	specific	124	0.354019	1.08	-1.564	0
BLCA	Stage II	139	SPDEF	specific	126	0.354448	1.65	-1.506	0
BLCA	Stage II	139	ASCL2	specific	129	0.355139	1.77	-1.415	0
BLCA	Stage II	139	FOXF2	specific	131	0.355564	2.13	-1.36	0
BLCA	Stage II	139	NPAS1	specific	132	0.355635	1.19	-1.353	0
BLCA	Stage II	139	HOXA6	specific	136	0.356355	1.27	-1.265	0
BLCA	Stage II	139	ZBTB7C	specific	137	0.356487	3.21	-1.25	0
BLCA	Stage II	139	ZNF658	specific	141	0.357885	1.3	-1.072	0
BLCA	Stage II	139	FOXN1	specific	142	0.358019	1.1	-1.058	0
BLCA	Stage II	139	YBX1	non_specific	965	0.381575	8.95	-0.022	1
BLCA	Stage II	139	ELF3	non_specific	660	0.378156	8.17	-0.022	1
BLCA	Stage II	139	ID1	non_specific	334	0.37173	8.08	-0.056	1
BLCA	Stage II	139	YBX3	non_specific	860	0.380459	7.97	-0.022	1
BLCA	Stage II	139	ATF4	non_specific	1070	0.38288	7.95	-0.022	1
BLCA	Stage II	139	JUNB	non_specific	721	0.378937	7.65	-0.022	1
BLCA	Stage II	139	HMGA1	non_specific	1089	0.38312	7.58	-0.022	1
BLCA	Stage II	139	MAZ	non_specific	1014	0.38221	7.56	-0.022	1
BLCA	Stage II	139	DRAP1	non_specific	910	0.380962	7.24	-0.022	1
BLCA	Stage II	139	ZNF706	non_specific	1222	0.385844	7.14	-0.003	1
BLCA	Stage II	139	FOS	non_specific	857	0.380434	6.92	-0.022	1
BLCA	Stage II	139	PA2G4	non_specific	716	0.378879	6.89	-0.022	1
BLCA	Stage II	139	USF2	non_specific	1059	0.382738	6.8	-0.022	1
BLCA	Stage II	139	IRF3	non_specific	887	0.380741	6.66	-0.022	1
BLCA	Stage II	139	KLF5	non_specific	450	0.374881	6.64	-0.022	1
BLCA	Stage II	139	RBCK1	non_specific	879	0.380644	6.58	-0.022	1
BLCA	Stage II	139	XBP1	non_specific	806	0.379892	6.58	-0.022	1
BLCA	Stage II	139	GTF3A	non_specific	1172	0.384674	6.49	-0.012	1
BLCA	Stage II	139	TGIF1	non_specific	1124	0.383748	6.44	-0.019	1
BLCA	Stage II	139	HES1	non_specific	759	0.379379	6.41	-0.022	1
BLCA	Stage II	139	ID3	non_specific	363	0.372665	6.35	-0.032	1
BLCA	Stage II	139	JUND	non_specific	1092	0.38316	6.34	-0.022	1
BLCA	Stage II	139	ZNF207	non_specific	926	0.381104	6.32	-0.022	1
BLCA	Stage II	139	IRF9	non_specific	704	0.378703	6.25	-0.022	1
BLCA	Stage II	139	STAT6	non_specific	538	0.376372	6.25	-0.022	1
BLCA	Stage II	139	HSF1	non_specific	814	0.379965	6.22	-0.022	1
BLCA	Stage II	139	SON	non_specific	787	0.37966	6.17	-0.022	1
BLCA	Stage II	139	SREBF1	non_specific	659	0.378153	6.13	-0.022	1
BLCA	Stage II	139	MBD2	non_specific	946	0.381327	6.13	-0.022	1
BLCA	Stage II	139	HMG20B	non_specific	735	0.379082	6.1	-0.022	1
BLCA	Stage II	139	ATF6B	non_specific	780	0.379626	6.08	-0.022	1
BLCA	Stage II	139	HMGN3	non_specific	889	0.38077	6.06	-0.022	1
BLCA	Stage II	139	CAMTA1	non_specific	994	0.381896	6.06	-0.022	1
BLCA	Stage II	139	BHLHE40	non_specific	1368	0.392066	6.06	0.0	1
BLCA	Stage II	139	GLMP	non_specific	1187	0.384967	6.02	-0.01	1
BLCA	Stage II	139	USF1	non_specific	891	0.380775	5.93	-0.022	1
BLCA	Stage II	139	ZNF385A	non_specific	235	0.366779	5.92	-0.304	1
BLCA	Stage II	139	NFE2L1	non_specific	1183	0.384906	5.92	-0.01	1
BLCA	Stage II	139	NFE2L2	non_specific	839	0.380327	5.91	-0.022	1
BLCA	Stage II	139	GATA3	non_specific	837	0.380303	5.9	-0.022	1
BLCA	Stage II	139	CXXC1	non_specific	507	0.375844	5.9	-0.022	1
BLCA	Stage II	139	SLC2A4RG	non_specific	1153	0.384369	5.9	-0.012	1
BLCA	Stage II	139	TCF3	non_specific	986	0.381822	5.89	-0.022	1
BLCA	Stage II	139	PIN1	non_specific	786	0.379653	5.85	-0.022	1
BLCA	Stage II	139	ETS2	non_specific	686	0.378536	5.83	-0.022	1
BLCA	Stage II	139	EPAS1	non_specific	1024	0.382347	5.82	-0.022	1
BLCA	Stage II	139	SAFB	non_specific	779	0.379626	5.81	-0.022	1
BLCA	Stage II	139	THAP4	non_specific	496	0.375614	5.81	-0.022	1
BLCA	Stage II	139	STAT1	non_specific	1095	0.383234	5.8	-0.02	1
BLCA	Stage II	139	NR1H2	non_specific	932	0.381166	5.77	-0.022	1
BLCA	Stage II	139	MBD3	non_specific	856	0.380429	5.73	-0.022	1
BLCA	Stage II	139	PLSCR1	non_specific	1065	0.382795	5.72	-0.022	1
BLCA	Stage II	139	STAT2	non_specific	752	0.379271	5.72	-0.022	1
BLCA	Stage II	139	GPBP1L1	non_specific	993	0.381891	5.69	-0.022	1
BLCA	Stage II	139	PPARG	non_specific	862	0.380485	5.68	-0.022	1
BLCA	Stage II	139	TFDP1	non_specific	1110	0.383525	5.67	-0.019	1
BLCA	Stage II	139	IRF6	non_specific	455	0.37497	5.63	-0.022	1
BLCA	Stage II	139	TSC22D1	non_specific	1038	0.382525	5.63	-0.022	1
BLCA	Stage II	139	THYN1	non_specific	679	0.378458	5.63	-0.022	1
BLCA	Stage II	139	E2F4	non_specific	883	0.380695	5.62	-0.022	1
BLCA	Stage II	139	RELA	non_specific	902	0.380842	5.6	-0.022	1
BLCA	Stage II	139	GTF2I	non_specific	982	0.381758	5.59	-0.022	1
BLCA	Stage II	139	PREB	non_specific	1146	0.384263	5.54	-0.012	1
BLCA	Stage II	139	HIF1A	non_specific	1090	0.383147	5.51	-0.022	1
BLCA	Stage II	139	PCGF2	non_specific	896	0.380791	5.51	-0.022	1
BLCA	Stage II	139	FOSL2	non_specific	966	0.381606	5.5	-0.022	1
BLCA	Stage II	139	NR2F6	non_specific	645	0.378061	5.49	-0.022	1
BLCA	Stage II	139	TSC22D4	non_specific	1032	0.382442	5.49	-0.022	1
BLCA	Stage II	139	JUN	non_specific	1362	0.391746	5.48	0.0	1
BLCA	Stage II	139	CENPB	non_specific	1003	0.382054	5.47	-0.022	1
BLCA	Stage II	139	PHF1	non_specific	840	0.380335	5.46	-0.022	1
BLCA	Stage II	139	AKAP8L	non_specific	692	0.37858	5.43	-0.022	1
BLCA	Stage II	139	UBTF	non_specific	1042	0.382584	5.41	-0.022	1
BLCA	Stage II	139	RARG	non_specific	589	0.377239	5.38	-0.022	1
BLCA	Stage II	139	ZNF358	non_specific	894	0.380784	5.34	-0.022	1
BLCA	Stage II	139	REPIN1	non_specific	630	0.377867	5.33	-0.022	1
BLCA	Stage II	139	CEBPB	non_specific	1277	0.387451	5.32	0.0	1
BLCA	Stage II	139	SAFB2	non_specific	512	0.37593	5.32	-0.022	1
BLCA	Stage II	139	ZNF428	non_specific	769	0.379509	5.31	-0.022	1
BLCA	Stage II	139	DNTTIP1	non_specific	963	0.381556	5.28	-0.022	1
BLCA	Stage II	139	STAT3	non_specific	1078	0.383024	5.28	-0.022	1
BLCA	Stage II	139	GPBP1	non_specific	740	0.379116	5.27	-0.022	1
BLCA	Stage II	139	TSC22D3	non_specific	1318	0.38968	5.25	0.0	1
BLCA	Stage III	128	BNC1	specific	71	0.310496	1.09	-16.706	0
BLCA	Stage III	128	ZNF521	specific	99	0.325247	1.32	-10.563	0
BLCA	Stage III	128	HOXD13	specific	100	0.326354	1.18	-10.151	0
BLCA	Stage III	128	PRRX1	specific	101	0.326611	2.9	-10.06	0
BLCA	Stage III	128	TWIST2	specific	103	0.327602	1.45	-9.705	0
BLCA	Stage III	128	HAND2	specific	112	0.329328	1.31	-9.123	0
BLCA	Stage III	128	GATA6	specific	116	0.329958	1.41	-8.917	0
BLCA	Stage III	128	NR4A3	specific	120	0.331018	1.42	-8.566	0
BLCA	Stage III	128	TRPS1	specific	122	0.331194	1.19	-8.513	0
BLCA	Stage III	128	HOXB13	specific	125	0.331598	1.19	-8.386	0
BLCA	Stage III	128	EGR3	specific	128	0.334104	1.54	-7.58	0
BLCA	Stage III	128	TFEC	specific	130	0.334485	1.12	-7.465	0
BLCA	Stage III	128	ZBED2	specific	132	0.33512	1.43	-7.27	0
BLCA	Stage III	128	TWIST1	specific	134	0.335178	2.53	-7.258	0
BLCA	Stage III	128	SPIB	specific	137	0.335382	1.03	-7.203	0
BLCA	Stage III	128	MSC	specific	144	0.337577	2.82	-6.552	0
BLCA	Stage III	128	GLIS3	specific	145	0.337871	1.49	-6.467	0
BLCA	Stage III	128	HMGA2	specific	153	0.339147	1.37	-6.115	0
BLCA	Stage III	128	ZNF683	specific	154	0.339219	1.2	-6.097	0
BLCA	Stage III	128	PRRX2	specific	156	0.339893	2.14	-5.909	0
BLCA	Stage III	128	IKZF1	specific	158	0.340537	1.4	-5.732	0
BLCA	Stage III	128	RARB	specific	160	0.341003	1.72	-5.607	0
BLCA	Stage III	128	EBF1	specific	165	0.3426	1.02	-5.184	0
BLCA	Stage III	128	MITF	specific	167	0.343008	1.43	-5.081	0
BLCA	Stage III	128	EGR2	specific	170	0.344558	1.93	-4.685	0
BLCA	Stage III	128	CREB5	specific	171	0.344577	1.2	-4.684	0
BLCA	Stage III	128	SNAI1	specific	172	0.344581	2.04	-4.684	0
BLCA	Stage III	128	FOXL1	specific	173	0.344866	1.28	-4.614	0
BLCA	Stage III	128	RUNX3	specific	174	0.34548	1.82	-4.462	0
BLCA	Stage III	128	IRF8	specific	176	0.345618	1.93	-4.432	0
BLCA	Stage III	128	ZIC2	specific	179	0.346461	1.22	-4.232	0
BLCA	Stage III	128	ZEB1	specific	183	0.34732	2.03	-4.034	0
BLCA	Stage III	128	MAF	specific	188	0.34829	2.85	-3.818	0
BLCA	Stage III	128	CREB3L1	specific	193	0.349098	3.65	-3.643	0
BLCA	Stage III	128	TSHZ3	specific	195	0.34932	1.45	-3.598	0
BLCA	Stage III	128	MSX1	specific	200	0.350463	1.68	-3.355	0
BLCA	Stage III	128	LTF	specific	201	0.35053	1.73	-3.342	0
BLCA	Stage III	128	GFI1	specific	202	0.350689	1.11	-3.309	0
BLCA	Stage III	128	HEYL	specific	204	0.351534	2.14	-3.132	0
BLCA	Stage III	128	MEIS3	specific	205	0.351601	2.67	-3.12	0
BLCA	Stage III	128	HIC1	specific	206	0.351667	1.88	-3.109	0
BLCA	Stage III	128	TBX18	specific	208	0.352041	1.03	-3.034	0
BLCA	Stage III	128	MEF2C	specific	209	0.352276	1.95	-2.989	0
BLCA	Stage III	128	TCF21	specific	211	0.352407	1.0	-2.964	0
