cancer	group	group_size	tf	rank	category	cacts_score	group_expr_log2tpm
ACC	ACC.CIMP-high	19	NFATC4	1	non_specific	0.297926	11.21
ACC	ACC.CIMP-high	19	PBX1	2	non_specific	0.302813	11.33
ACC	ACC.CIMP-high	19	NR5A1	3	non_specific	0.304221	14.22
ACC	ACC.CIMP-high	19	FOXK2	4	non_specific	0.305958	11.31
ACC	ACC.CIMP-high	19	ETV5	5	non_specific	0.309007	10.84
ACC	ACC.CIMP-high	19	MBD6	6	non_specific	0.30965	11.2
ACC	ACC.CIMP-high	19	NR2F6	7	non_specific	0.309781	10.81
ACC	ACC.CIMP-high	19	SMAD2	8	non_specific	0.309902	11.24
ACC	ACC.CIMP-high	19	AKAP8L	9	non_specific	0.310031	11.4
ACC	ACC.CIMP-high	19	MBD3	10	non_specific	0.310342	12.21
ACC	ACC.CIMP-high	19	WIZ	11	non_specific	0.310683	11.22
ACC	ACC.CIMP-high	19	CIC	12	non_specific	0.310863	11.52
ACC	ACC.CIMP-high	19	PEG3	13	non_specific	0.311015	13.25
ACC	ACC.CIMP-high	19	TBX3	14	non_specific	0.311044	14.03
ACC	ACC.CIMP-high	19	HMGN3	15	non_specific	0.311448	11.63
ACC	ACC.CIMP-high	19	PURB	16	non_specific	0.311531	10.91
ACC	ACC.CIMP-high	19	ID2	17	non_specific	0.311675	11.51
ACC	ACC.CIMP-high	19	YBX1	18	non_specific	0.311924	12.51
ACC	ACC.CIMP-high	19	GATA6	19	non_specific	0.311949	10.87
ACC	ACC.CIMP-high	19	ATF5	20	non_specific	0.312015	11.53
ACC	ACC.CIMP-intermediate	27	GLIS2	1	non_specific	0.307332	10.91
ACC	ACC.CIMP-intermediate	27	ZSCAN18	2	non_specific	0.30915	10.99
ACC	ACC.CIMP-intermediate	27	ZNF189	3	non_specific	0.310441	10.95
ACC	ACC.CIMP-intermediate	27	ATF5	4	non_specific	0.310542	11.61
ACC	ACC.CIMP-intermediate	27	MXD4	5	non_specific	0.310987	11.4
ACC	ACC.CIMP-intermediate	27	RXRA	6	non_specific	0.311971	10.93
ACC	ACC.CIMP-intermediate	27	ERF	7	non_specific	0.312076	10.89
ACC	ACC.CIMP-intermediate	27	ZBTB38	8	non_specific	0.312232	11.09
ACC	ACC.CIMP-intermediate	27	ZNF219	9	non_specific	0.313094	11.34
ACC	ACC.CIMP-intermediate	27	ID2	10	non_specific	0.313152	11.43
ACC	ACC.CIMP-intermediate	27	GATAD2A	11	non_specific	0.313406	11.25
ACC	ACC.CIMP-intermediate	27	TSC22D4	12	non_specific	0.313667	11.57
ACC	ACC.CIMP-intermediate	27	TBX3	13	non_specific	0.313917	13.86
ACC	ACC.CIMP-intermediate	27	ZNF358	14	non_specific	0.313937	10.97
ACC	ACC.CIMP-intermediate	27	DBP	15	non_specific	0.313953	11.39
ACC	ACC.CIMP-intermediate	27	SREBF1	16	non_specific	0.31401	12.01
ACC	ACC.CIMP-intermediate	27	SAFB2	17	non_specific	0.314139	11.14
ACC	ACC.CIMP-intermediate	27	ELK1	18	non_specific	0.314325	10.92
ACC	ACC.CIMP-intermediate	27	NFAT5	19	non_specific	0.314366	11.14
ACC	ACC.CIMP-intermediate	27	PEG3	20	non_specific	0.314532	13.05
ACC	ACC.CIMP-low	32	PLAGL1	1	non_specific	0.293645	11.64
ACC	ACC.CIMP-low	32	GLIS2	2	non_specific	0.305858	10.98
ACC	ACC.CIMP-low	32	MEIS1	3	non_specific	0.307238	10.92
ACC	ACC.CIMP-low	32	STAT5B	4	non_specific	0.307505	11.03
