cancer	group	group_size	tf	category	jsd_rank	cacts_score	group_expr_log2tpm	fdr_log10	top5e
BLCA	Normal	19	SOX10	specific	2	0.029158	1.46	-2.055	0
BLCA	Normal	19	RXRG	specific	4	0.036272	1.15	-1.906	0
BLCA	Normal	19	HLF	specific	7	0.043712	2.93	-1.859	0
BLCA	Normal	19	HAND1	specific	8	0.045731	1.74	-1.841	0
BLCA	Normal	19	AFF3	specific	10	0.049907	2.28	-1.781	0
BLCA	Normal	19	TBX20	specific	11	0.052264	1.82	-1.767	0
BLCA	Normal	19	GATA5	specific	12	0.05244	2.35	-1.767	0
BLCA	Normal	19	ZNF536	specific	13	0.054702	1.02	-1.72	0
BLCA	Normal	19	CPEB1	specific	14	0.056913	2.25	-1.683	0
BLCA	Normal	19	HIF3A	specific	17	0.066847	3.1	-1.428	0
BLCA	Normal	19	ZBTB16	specific	18	0.067176	2.5	-1.428	0
BLCA	Normal	19	MKX	specific	20	0.069056	1.5	-1.428	0
BLCA	Normal	19	TCF21	specific	25	0.071639	3.94	-1.428	0
BLCA	Normal	19	PEG3	specific	26	0.071897	1.62	-1.428	0
BLCA	Normal	19	NR3C2	specific	28	0.077141	2.6	-1.306	0
BLCA	Normal	19	NR4A3	specific	30	0.07931	4.57	-1.262	0
BLCA	Normal	19	TBX5	specific	31	0.079445	1.95	-1.262	0
BLCA	Normal	19	MEOX2	specific	34	0.084105	1.63	-1.158	0
BLCA	Normal	19	PRDM6	specific	35	0.08582	2.52	-1.135	0
BLCA	Normal	19	HAND2	specific	36	0.085861	3.97	-1.135	0
BLCA	Normal	19	EGR3	specific	37	0.086358	4.39	-1.135	0
BLCA	Normal	19	FOXP2	specific	38	0.086455	2.38	-1.135	0
BLCA	Normal	19	FOS	non_specific	190	0.16611	10.3	-0.026	1
BLCA	Normal	19	NR4A1	non_specific	117	0.13944	9.21	-0.286	1
BLCA	Normal	19	JUNB	non_specific	337	0.190993	9.15	-0.026	1
BLCA	Normal	19	YBX1	non_specific	694	0.21547	8.99	-0.026	1
BLCA	Normal	19	EGR1	non_specific	158	0.153272	8.83	-0.15	1
BLCA	Normal	19	ATF4	non_specific	567	0.209758	8.4	-0.026	1
BLCA	Normal	19	FOSB	non_specific	92	0.127406	8.29	-0.441	1
BLCA	Normal	19	YBX3	non_specific	566	0.209748	8.28	-0.026	1
BLCA	Normal	19	ATF3	non_specific	155	0.152382	8.04	-0.158	1
BLCA	Normal	19	JUN	non_specific	239	0.176259	7.83	-0.026	1
BLCA	Normal	19	ID1	non_specific	643	0.213434	7.76	-0.026	1
BLCA	Normal	19	JUND	non_specific	331	0.190466	7.74	-0.026	1
BLCA	Normal	19	TSC22D1	non_specific	262	0.180836	7.48	-0.026	1
BLCA	Normal	19	TSC22D3	non_specific	268	0.181855	7.19	-0.026	1
BLCA	Normal	19	ETS2	non_specific	308	0.188015	7.11	-0.026	1
BLCA	Normal	19	BHLHE40	non_specific	436	0.200996	7.08	-0.026	1
BLCA	Normal	19	AEBP1	non_specific	303	0.18749	6.99	-0.026	1
BLCA	Normal	19	KLF6	non_specific	270	0.181891	6.9	-0.026	1
BLCA	Normal	19	MAZ	non_specific	962	0.229251	6.88	-0.026	1
BLCA	Normal	19	MYC	non_specific	250	0.177822	6.83	-0.026	1
BLCA	Normal	19	NFE2L2	non_specific	386	0.195854	6.82	-0.026	1
BLCA	Normal	19	ELF3	non_specific	1126	0.239617	6.82	-0.026	1
BLCA	Normal	19	ID3	non_specific	442	0.201503	6.81	-0.026	1
BLCA	Normal	19	DRAP1	non_specific	900	0.226085	6.74	-0.026	1
BLCA	Normal	19	XBP1	non_specific	658	0.214142	6.65	-0.026	1
BLCA	Normal	19	STAT6	non_specific	493	0.20526	6.62	-0.026	1
BLCA	Normal	19	USF2	non_specific	785	0.220592	6.62	-0.026	1
BLCA	Normal	19	ID2	non_specific	263	0.181122	6.47	-0.026	1
BLCA	Normal	19	PA2G4	non_specific	862	0.224264	6.43	-0.026	1
BLCA	Normal	19	FOSL2	non_specific	387	0.195871	6.43	-0.026	1
BLCA	Normal	19	KLF4	non_specific	156	0.152808	6.41	-0.153	1
BLCA	Normal	19	ZNF706	non_specific	1033	0.233308	6.41	-0.026	1
BLCA	Normal	19	HMGN3	non_specific	594	0.210971	6.29	-0.026	1
BLCA	Normal	19	TGIF1	non_specific	790	0.220887	6.29	-0.026	1
BLCA	Normal	19	NFE2L1	non_specific	583	0.210591	6.27	-0.026	1
BLCA	Normal	19	EPAS1	non_specific	495	0.205539	6.26	-0.026	1
BLCA	Normal	19	SON	non_specific	649	0.21364	6.24	-0.026	1
BLCA	Normal	19	MAFF	non_specific	231	0.174995	6.24	-0.026	1
BLCA	Normal	19	CAMTA1	non_specific	622	0.212546	6.24	-0.026	1
BLCA	Normal	19	CSRNP1	non_specific	144	0.148175	6.22	-0.204	1
BLCA	Normal	19	CEBPD	non_specific	355	0.193133	6.16	-0.026	1
BLCA	Normal	19	PHF1	non_specific	418	0.198773	6.16	-0.026	1
BLCA	Normal	19	GTF3A	non_specific	935	0.227719	6.07	-0.026	1
BLCA	Normal	19	HMGA1	non_specific	1217	0.249397	6.01	-0.011	1
BLCA	Normal	19	ZNF207	non_specific	842	0.223434	5.98	-0.026	1
BLCA	Normal	19	NR1H2	non_specific	612	0.211984	5.95	-0.026	1
BLCA	Normal	19	STAT3	non_specific	449	0.202183	5.93	-0.026	1
BLCA	Normal	19	HSF1	non_specific	824	0.222567	5.91	-0.026	1
BLCA	Normal	19	CEBPB	non_specific	512	0.206565	5.87	-0.026	1
BLCA	Normal	19	MBD2	non_specific	856	0.224102	5.8	-0.026	1
BLCA	Normal	19	PIN1	non_specific	728	0.217369	5.78	-0.026	1
BLCA	Normal	19	RELA	non_specific	605	0.211495	5.76	-0.026	1
BLCA	Normal	19	FOSL1	non_specific	240	0.176434	5.74	-0.026	1
BLCA	Normal	19	KLF2	non_specific	95	0.130096	5.73	-0.395	1
BLCA	Normal	19	THAP4	non_specific	685	0.215041	5.73	-0.026	1
BLCA	Normal	19	IRF9	non_specific	917	0.226717	5.72	-0.026	1
BLCA	Normal	19	RBCK1	non_specific	1065	0.235449	5.7	-0.026	1
BLCA	Normal	19	KLF5	non_specific	1012	0.231893	5.7	-0.026	1
BLCA	Normal	19	THYN1	non_specific	637	0.213198	5.7	-0.026	1
BLCA	Normal	19	SLC2A4RG	non_specific	829	0.222687	5.66	-0.026	1
BLCA	Normal	19	NFATC4	non_specific	248	0.177607	5.66	-0.026	1
BLCA	Normal	19	IRF3	non_specific	1113	0.238612	5.64	-0.026	1
BLCA	Normal	19	SRF	non_specific	232	0.175239	5.64	-0.026	1
BLCA	Normal	19	HIF1A	non_specific	675	0.214549	5.62	-0.026	1
BLCA	Normal	19	CENPB	non_specific	654	0.214021	5.62	-0.026	1
BLCA	Normal	19	HMG20B	non_specific	911	0.226336	5.6	-0.026	1
BLCA	Normal	19	ZNF358	non_specific	574	0.210106	5.58	-0.026	1
BLCA	Normal	19	HES1	non_specific	1044	0.233827	5.57	-0.026	1
BLCA	Normal	19	ATF6B	non_specific	925	0.227106	5.56	-0.026	1
BLCA	Normal	19	CREM	non_specific	278	0.183098	5.56	-0.026	1
BLCA	Normal	19	SAFB	non_specific	788	0.220726	5.56	-0.026	1
BLCA	Normal	19	GPBP1L1	non_specific	763	0.219514	5.55	-0.026	1
BLCA	Normal	19	GTF2I	non_specific	712	0.216397	5.55	-0.026	1
BLCA	Normal	19	UBTF	non_specific	634	0.213119	5.55	-0.026	1
BLCA	Normal	19	PITX1	non_specific	219	0.172646	5.55	-0.026	1
BLCA	Normal	19	HOPX	non_specific	440	0.201263	5.52	-0.026	1
BLCA	Normal	19	CUX1	non_specific	536	0.208278	5.47	-0.026	1
BLCA	Normal	19	NFIL3	non_specific	222	0.173113	5.46	-0.026	1
BLCA	Normal	19	MAX	non_specific	526	0.207804	5.46	-0.026	1
BLCA	Normal	19	TEAD3	non_specific	475	0.204117	5.43	-0.026	1
BLCA	Normal	19	GLMP	non_specific	1046	0.234052	5.38	-0.026	1
BLCA	Normal	19	PLSCR1	non_specific	907	0.226229	5.35	-0.026	1
BLCA	Normal	19	MBD3	non_specific	879	0.224952	5.35	-0.026	1
